# TBinMid=3.71519 ssec TBinWidth=7.77057 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   4.83862735E+01   5.72549463E+01   5.72549463E+01   5.37990819E-07   9.43520450E-06   9.43520450E-06
   2.00000000E-04   2.41051907E+06   2.36279584E+06   2.36279584E+06   2.65109898E+06   2.23823704E+06   2.23823704E+06
   4.00000000E-04   1.16605918E+07   1.14884670E+07   1.14884670E+07   1.25105674E+07   1.06516049E+07   1.06516049E+07
   6.00000000E-04   2.93293529E+07   2.91101085E+07   2.91101085E+07   3.03188520E+07   2.60076340E+07   2.60076340E+07
   8.00000000E-04   5.58851942E+07   5.58179169E+07   5.58179169E+07   5.58872829E+07   4.82738814E+07   4.82738814E+07
   1.00000000E-03   9.12554967E+07   9.16310083E+07   9.16310083E+07   8.86521175E+07   7.70820508E+07   7.70820508E+07
   1.20000000E-03   1.35038881E+08   1.36212314E+08   1.36212314E+08   1.27870874E+08   1.11893392E+08   1.11893392E+08
   1.40000000E-03   1.86625822E+08   1.88992872E+08   1.88992872E+08   1.72722139E+08   1.52083233E+08   1.52083233E+08
   1.60000000E-03   2.45276313E+08   2.49253135E+08   2.49253135E+08   2.22363000E+08   1.96990115E+08   1.96990115E+08
   1.80000000E-03   3.10172821E+08   3.16179197E+08   3.16179197E+08   2.75963880E+08   2.45946158E+08   2.45946158E+08
   2.00000000E-03   3.80457385E+08   3.88902752E+08   3.88902752E+08   3.32729957E+08   2.98296347E+08   2.98296347E+08
   2.20000000E-03   4.55257967E+08   4.66529900E+08   4.66529900E+08   3.91914091E+08   3.53410824E+08   3.53410824E+08
   2.40000000E-03   5.33707348E+08   5.48162167E+08   5.48162167E+08   4.52824144E+08   4.10692589E+08   4.10692589E+08
   2.60000000E-03   6.14956815E+08   6.32912060E+08   6.32912060E+08   5.14826538E+08   4.69582085E+08   4.69582085E+08
   2.80000000E-03   6.98186235E+08   7.19914816E+08   7.19914816E+08   5.77347241E+08   5.29559642E+08   5.29559642E+08
   3.00000000E-03   7.82611615E+08   8.08337502E+08   8.08337502E+08   6.39871008E+08   5.90146435E+08   5.90146435E+08
   3.20000000E-03   8.67490905E+08   8.97386255E+08   8.97386255E+08   7.01939454E+08   6.50904417E+08   6.50904417E+08
   3.40000000E-03   9.52128526E+08   9.86312146E+08   9.86312146E+08   7.63148360E+08   7.11435519E+08   7.11435519E+08
   3.60000000E-03   1.03587891E+09   1.07441597E+09   1.07441597E+09   8.23144512E+08   7.71380385E+08   7.71380385E+08
   3.80000000E-03   1.11814922E+09   1.16105211E+09   1.16105211E+09   8.81622276E+08   8.30416765E+08   8.30416765E+08
   4.00000000E-03   1.19840133E+09   1.24563150E+09   1.24563150E+09   9.38320061E+08   8.88257716E+08   8.88257716E+08
   4.20000000E-03   1.27615303E+09   1.32762382E+09   1.32762382E+09   9.93016782E+08   9.44649675E+08   9.44649675E+08
   4.40000000E-03   1.35097861E+09   1.40655872E+09   1.40655872E+09   1.04552839E+09   9.99370478E+08   9.99370478E+08
   4.60000000E-03   1.42250868E+09   1.48202629E+09   1.48202629E+09   1.09570452E+09   1.05222737E+09   1.05222737E+09
   4.80000000E-03   1.49042934E+09   1.55367667E+09   1.55367667E+09   1.14342531E+09   1.10305503E+09   1.10305503E+09
   5.00000000E-03   1.55448071E+09   1.62121884E+09   1.62121884E+09   1.18859839E+09   1.15171364E+09   1.15171364E+09
   5.20000000E-03   1.61445489E+09   1.68441880E+09   1.68441880E+09   1.23115606E+09   1.19808701E+09   1.19808701E+09
   5.40000000E-03   1.67019341E+09   1.74309697E+09   1.74309697E+09   1.27105267E+09   1.24208077E+09   1.24208077E+09
   5.60000000E-03   1.72158429E+09   1.79712520E+09   1.79712520E+09   1.30826215E+09   1.28362067E+09   1.28362067E+09
   5.80000000E-03   1.76855872E+09   1.84642322E+09   1.84642322E+09   1.34277583E+09   1.32265089E+09   1.32265089E+09
   6.00000000E-03   1.81108749E+09   1.89095489E+09   1.89095489E+09   1.37460033E+09   1.35913250E+09   1.35913250E+09
   6.20000000E-03   1.84917736E+09   1.93072412E+09   1.93072412E+09   1.40375568E+09   1.39304197E+09   1.39304197E+09
   6.40000000E-03   1.88286723E+09   1.96577080E+09   1.96577080E+09   1.43027362E+09   1.42436975E+09   1.42436975E+09
   6.60000000E-03   1.91222446E+09   1.99616658E+09   1.99616658E+09   1.45419601E+09   1.45311899E+09   1.45311899E+09
   6.80000000E-03   1.93734107E+09   2.02201080E+09   2.02201080E+09   1.47557343E+09   1.47930424E+09   1.47930424E+09
   7.00000000E-03   1.95833032E+09   2.04342651E+09   2.04342651E+09   1.49446386E+09   1.50295031E+09   1.50295031E+09
   7.20000000E-03   1.97532319E+09   2.06055671E+09   2.06055671E+09   1.51093156E+09   1.52409119E+09   1.52409119E+09
   7.40000000E-03   1.98846531E+09   2.07356071E+09   2.07356071E+09   1.52504597E+09   1.54276899E+09   1.54276899E+09
   7.60000000E-03   1.99791392E+09   2.08261087E+09   2.08261087E+09   1.53688082E+09   1.55903299E+09   1.55903299E+09
   7.80000000E-03   2.00383526E+09   2.08788955E+09   2.08788955E+09   1.54651325E+09   1.57293876E+09   1.57293876E+09
