# TBinMid=4.00279 ssec TBinWidth=8.69483 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   1.38589050E-13   3.40680447E-02   7.50048376E-01   7.50048376E-01   9.79972111E-11   2.84941558E-11   2.84941558E-11
   2.00000000E-04   4.50884561E+06   4.20991880E+06   4.20991880E+06   3.29749194E+06   4.23584462E+06   4.23584462E+06
   4.00000000E-04   1.96664922E+07   1.83035977E+07   1.83035977E+07   1.48851060E+07   1.85955847E+07   1.85955847E+07
   6.00000000E-04   4.57964864E+07   4.44262175E+07   4.44262175E+07   3.54230203E+07   4.34152953E+07   4.34152953E+07
   8.00000000E-04   8.23394198E+07   8.33415154E+07   8.33415154E+07   6.47847286E+07   7.81888188E+07   7.81888188E+07
   1.00000000E-03   1.28417799E+08   1.35129410E+08   1.35129410E+08   1.02526896E+08   1.22105531E+08   1.22105531E+08
   1.20000000E-03   1.83018459E+08   1.99422710E+08   1.99422710E+08   1.48045235E+08   1.74224558E+08   1.74224558E+08
   1.40000000E-03   2.45080450E+08   2.75541585E+08   2.75541585E+08   2.00651132E+08   2.33558325E+08   2.33558325E+08
   1.60000000E-03   3.13543854E+08   3.62585697E+08   3.62585697E+08   2.59615425E+08   2.99118615E+08   2.99118615E+08
   1.80000000E-03   3.87378699E+08   4.59503209E+08   4.59503209E+08   3.24195550E+08   3.69943612E+08   3.69943612E+08
   2.00000000E-03   4.65602439E+08   5.65144277E+08   5.65144277E+08   3.93653215E+08   4.45114105E+08   4.45114105E+08
   2.20000000E-03   5.47290314E+08   6.78302786E+08   6.78302786E+08   4.67266244E+08   5.23763062E+08   5.23763062E+08
   2.40000000E-03   6.31581083E+08   7.97748748E+08   7.97748748E+08   5.44336636E+08   6.05080933E+08   6.05080933E+08
   2.60000000E-03   7.17679637E+08   9.22253311E+08   9.22253311E+08   6.24196047E+08   6.88318119E+08   6.88318119E+08
   2.80000000E-03   8.04857499E+08   1.05060800E+09   1.05060800E+09   7.06209474E+08   7.72785537E+08   7.72785537E+08
   3.00000000E-03   8.92451877E+08   1.18163955E+09   1.18163955E+09   7.89777637E+08   8.57853876E+08   8.57853876E+08
   3.20000000E-03   9.79863752E+08   1.31422146E+09   1.31422146E+09   8.74338400E+08   9.42951977E+08   9.42951977E+08
   3.40000000E-03   1.06655532E+09   1.44728303E+09   1.44728303E+09   9.59367479E+08   1.02756462E+09   1.02756462E+09
   3.60000000E-03   1.15204704E+09   1.57981652E+09   1.57981652E+09   1.04437860E+09   1.11122992E+09   1.11122992E+09
   3.80000000E-03   1.23591442E+09   1.71088279E+09   1.71088279E+09   1.12892325E+09   1.19353653E+09   1.19353653E+09
   4.00000000E-03   1.31778476E+09   1.83961567E+09   1.83961567E+09   1.21259004E+09   1.27412063E+09   1.27412063E+09
   4.20000000E-03   1.39733371E+09   1.96522517E+09   1.96522517E+09   1.29500393E+09   1.35266297E+09   1.35266297E+09
   4.40000000E-03   1.47428206E+09   2.08699963E+09   2.08699963E+09   1.37582513E+09   1.42888589E+09   1.42888589E+09
   4.60000000E-03   1.54839239E+09   2.20430685E+09   2.20430685E+09   1.45474792E+09   1.50255035E+09   1.50255035E+09
   4.80000000E-03   1.61946593E+09   2.31659424E+09   2.31659424E+09   1.53149934E+09   1.57345309E+09   1.57345309E+09
   5.00000000E-03   1.68733951E+09   2.42338797E+09   2.42338797E+09   1.60583778E+09   1.64142387E+09   1.64142387E+09
   5.20000000E-03   1.75188262E+09   2.52429131E+09   2.52429131E+09   1.67755152E+09   1.70632284E+09   1.70632284E+09
   5.40000000E-03   1.81299458E+09   2.61898212E+09   2.61898212E+09   1.74645722E+09   1.76803802E+09   1.76803802E+09
   5.60000000E-03   1.87060189E+09   2.70720960E+09   2.70720960E+09   1.81239837E+09   1.82648291E+09   1.82648291E+09
   5.80000000E-03   1.92465566E+09   2.78879053E+09   2.78879053E+09   1.87524376E+09   1.88159423E+09   1.88159423E+09
   6.00000000E-03   1.97512927E+09   2.86360489E+09   2.86360489E+09   1.93488595E+09   1.93332981E+09   1.93332981E+09
   6.20000000E-03   2.02201606E+09   2.93159122E+09   2.93159122E+09   1.99123970E+09   1.98166659E+09   1.98166659E+09
   6.40000000E-03   2.06532725E+09   2.99274161E+09   2.99274161E+09   2.04424051E+09   2.02659873E+09   2.02659873E+09
   6.60000000E-03   2.10508995E+09   3.04709666E+09   3.04709666E+09   2.09384309E+09   2.06813587E+09   2.06813587E+09
   6.80000000E-03   2.14134528E+09   3.09474029E+09   3.09474029E+09   2.14001999E+09   2.10630152E+09   2.10630152E+09
   7.00000000E-03   2.17414672E+09   3.13579461E+09   3.13579461E+09   2.18276009E+09   2.14113151E+09   2.14113151E+09
   7.20000000E-03   2.20355848E+09   3.17041499E+09   3.17041499E+09   2.22206737E+09   2.17267262E+09   2.17267262E+09
   7.40000000E-03   2.22965404E+09   3.19878523E+09   3.19878523E+09   2.25795952E+09   2.20098122E+09   2.20098122E+09
   7.60000000E-03   2.25251481E+09   3.22111297E+09   3.22111297E+09   2.29046669E+09   2.22612213E+09   2.22612213E+09
   7.80000000E-03   2.27222888E+09   3.23762544E+09   3.23762544E+09   2.31963034E+09   2.24816742E+09   2.24816742E+09
   8.00000000E-03   2.28888990E+09   3.24856546E+09   3.24856546E+09   2.34550206E+09   2.26719548E+09   2.26719548E+09
   8.20000000E-03   2.30259609E+09   3.25418780E+09   3.25418780E+09   2.36814250E+09   2.28328998E+09   2.28328998E+09
   8.40000000E-03   2.31344922E+09   3.25475582E+09   3.25475582E+09   2.38762031E+09   2.29653908E+09   2.29653908E+09
   8.60000000E-03   2.32155385E+09   3.25053850E+09   3.25053850E+09   2.40401121E+09   2.30703457E+09   2.30703457E+09
   8.80000000E-03   2.32701655E+09   3.24180780E+09   3.24180780E+09   2.41739704E+09   2.31487121E+09   2.31487121E+09
   9.00000000E-03   2.32994518E+09   3.22883626E+09   3.22883626E+09   2.42786495E+09   2.32014599E+09   2.32014599E+09
   9.20000000E-03   2.33044833E+09   3.21189498E+09   3.21189498E+09   2.43550653E+09   2.32295761E+09   2.32295761E+09
   9.40000000E-03   2.32863475E+09   3.19125186E+09   3.19125186E+09   2.44041710E+09   2.32340587E+09   2.32340587E+09
   9.60000000E-03   2.32461288E+09   3.16717009E+09   3.16717009E+09   2.44269500E+09   2.32159122E+09   2.32159122E+09
   9.80000000E-03   2.31849044E+09   3.13990691E+09   3.13990691E+09   2.44244097E+09   2.31761426E+09   2.31761426E+09
   1.00000000E-02   2.31037402E+09   3.10971254E+09   3.10971254E+09   2.43975750E+09   2.31157542E+09   2.31157542E+09
   1.02000000E-02   2.30036879E+09   3.07682938E+09   3.07682938E+09   2.43474833E+09   2.30357453E+09   2.30357453E+09
   1.04000000E-02   2.28857821E+09   3.04149134E+09   3.04149134E+09   2.42751793E+09   2.29371053E+09   2.29371053E+09
   1.06000000E-02   2.27510381E+09   3.00392334E+09   3.00392334E+09   2.41817101E+09   2.28208119E+09   2.28208119E+09
   1.08000000E-02   2.26004491E+09   2.96434096E+09   2.96434096E+09   2.40681214E+09   2.26878285E+09   2.26878285E+09
   1.10000000E-02   2.24349856E+09   2.92295019E+09   2.92295019E+09   2.39354534E+09   2.25391020E+09   2.25391020E+09
   1.12000000E-02   2.22555931E+09   2.87994732E+09   2.87994732E+09   2.37847376E+09   2.23755610E+09   2.23755610E+09
   1.14000000E-02   2.20631911E+09   2.83551887E+09   2.83551887E+09   2.36169935E+09   2.21981141E+09   2.21981141E+09
   1.16000000E-02   2.18586725E+09   2.78984168E+09   2.78984168E+09   2.34332260E+09   2.20076486E+09   2.20076486E+09
   1.18000000E-02   2.16429024E+09   2.74308294E+09   2.74308294E+09   2.32344228E+09   2.18050288E+09   2.18050288E+09
   1.20000000E-02   2.14167182E+09   2.69540043E+09   2.69540043E+09   2.30215526E+09   2.15910959E+09   2.15910959E+09
   1.22000000E-02   2.11809285E+09   2.64694263E+09   2.64694263E+09   2.27955625E+09   2.13666665E+09   2.13666665E+09
   1.24000000E-02   2.09363133E+09   2.59784905E+09   2.59784905E+09   2.25573774E+09   2.11325319E+09   2.11325319E+09
   1.26000000E-02   2.06836240E+09   2.54825040E+09   2.54825040E+09   2.23078977E+09   2.08894584E+09   2.08894584E+09
   1.28000000E-02   2.04235833E+09   2.49826896E+09   2.49826896E+09   2.20479985E+09   2.06381861E+09   2.06381861E+09
   1.30000000E-02   2.01568851E+09   2.44801881E+09   2.44801881E+09   2.17785290E+09   2.03794290E+09   2.03794290E+09
   1.32000000E-02   1.98841954E+09   2.39760618E+09   2.39760618E+09   2.15003110E+09   2.01138752E+09   2.01138752E+09
   1.34000000E-02   1.96061519E+09   2.34712978E+09   2.34712978E+09   2.12141390E+09   1.98421863E+09   1.98421863E+09
   1.36000000E-02   1.93233647E+09   2.29668108E+09   2.29668108E+09   2.09207790E+09   1.95649980E+09   1.95649980E+09
   1.38000000E-02   1.90364168E+09   2.24634468E+09   2.24634468E+09   2.06209692E+09   1.92829201E+09   1.92829201E+09
   1.40000000E-02   1.87458646E+09   2.19619860E+09   2.19619860E+09   2.03154190E+09   1.89965366E+09   1.89965366E+09
   1.42000000E-02   1.84522384E+09   2.14631460E+09   2.14631460E+09   2.00048092E+09   1.87064063E+09   1.87064063E+09
   1.44000000E-02   1.81560426E+09   2.09675851E+09   2.09675851E+09   1.96897923E+09   1.84130627E+09   1.84130627E+09
   1.46000000E-02   1.78577572E+09   2.04759053E+09   2.04759053E+09   1.93709923E+09   1.81170151E+09   1.81170151E+09
   1.48000000E-02   1.75578374E+09   1.99886553E+09   1.99886553E+09   1.90490054E+09   1.78187483E+09   1.78187483E+09
   1.50000000E-02   1.72567151E+09   1.95063332E+09   1.95063332E+09   1.87243998E+09   1.75187238E+09   1.75187238E+09
   1.52000000E-02   1.69547991E+09   1.90293896E+09   1.90293896E+09   1.83977166E+09   1.72173798E+09   1.72173798E+09
   1.54000000E-02   1.66524757E+09   1.85582302E+09   1.85582302E+09   1.80694698E+09   1.69151319E+09   1.69151319E+09
   1.56000000E-02   1.63501100E+09   1.80932184E+09   1.80932184E+09   1.77401473E+09   1.66123740E+09   1.66123740E+09
   1.58000000E-02   1.60480457E+09   1.76346780E+09   1.76346780E+09   1.74102111E+09   1.63094783E+09   1.63094783E+09
   1.60000000E-02   1.57466067E+09   1.71828953E+09   1.71828953E+09   1.70800980E+09   1.60067964E+09   1.60067964E+09
   1.62000000E-02   1.54460971E+09   1.67381217E+09   1.67381217E+09   1.67502201E+09   1.57046598E+09   1.57046598E+09
   1.64000000E-02   1.51468023E+09   1.63005757E+09   1.63005757E+09   1.64209660E+09   1.54033804E+09   1.54033804E+09
   1.66000000E-02   1.48489895E+09   1.58704456E+09   1.58704456E+09   1.60927007E+09   1.51032512E+09   1.51032512E+09
   1.68000000E-02   1.45529083E+09   1.54478906E+09   1.54478906E+09   1.57657669E+09   1.48045471E+09   1.48045471E+09
   1.70000000E-02   1.42587918E+09   1.50330435E+09   1.50330435E+09   1.54404854E+09   1.45075251E+09   1.45075251E+09
   1.72000000E-02   1.39668567E+09   1.46260123E+09   1.46260123E+09   1.51171560E+09   1.42124255E+09   1.42124255E+09
   1.74000000E-02   1.36773042E+09   1.42268820E+09   1.42268820E+09   1.47960582E+09   1.39194722E+09   1.39194722E+09
   1.76000000E-02   1.33903208E+09   1.38357160E+09   1.38357160E+09   1.44774517E+09   1.36288731E+09   1.36288731E+09
   1.78000000E-02   1.31060787E+09   1.34525582E+09   1.34525582E+09   1.41615776E+09   1.33408214E+09   1.33408214E+09
   1.80000000E-02   1.28247365E+09   1.30774340E+09   1.30774340E+09   1.38486586E+09   1.30554954E+09   1.30554954E+09
   1.82000000E-02   1.25464396E+09   1.27103519E+09   1.27103519E+09   1.35389002E+09   1.27730598E+09   1.27730598E+09
   1.84000000E-02   1.22713213E+09   1.23513052E+09   1.23513052E+09   1.32324910E+09   1.24936658E+09   1.24936658E+09
   1.86000000E-02   1.19995027E+09   1.20002725E+09   1.20002725E+09   1.29296037E+09   1.22174519E+09   1.22174519E+09
   1.88000000E-02   1.17310938E+09   1.16572197E+09   1.16572197E+09   1.26303957E+09   1.19445443E+09   1.19445443E+09
   1.90000000E-02   1.14661937E+09   1.13221006E+09   1.13221006E+09   1.23350099E+09   1.16750577E+09   1.16750577E+09
   1.92000000E-02   1.12048912E+09   1.09948581E+09   1.09948581E+09   1.20435751E+09   1.14090958E+09   1.14090958E+09
   1.94000000E-02   1.09472656E+09   1.06754254E+09   1.06754254E+09   1.17562068E+09   1.11467514E+09   1.11467514E+09
   1.96000000E-02   1.06933866E+09   1.03637267E+09   1.03637267E+09   1.14730080E+09   1.08881075E+09   1.08881075E+09
   1.98000000E-02   1.04433153E+09   1.00596782E+09   1.00596782E+09   1.11940697E+09   1.06332373E+09   1.06332373E+09
