####### LIGHTCURVES AND MEAN ENERGIES
####### 3 NEUTRINO SPECIES: NU_E, NUBAR_E AND N_X
####### ALL QUANTITIES ARE MEASURED AT 500 KM FROM THE CENTER
#######
####### FROM MODEL L1-0 (BUGLI ET AL. 2020,2021)
####### B0=1e12 G, l=1, r0=1.00e8 cm
####### UNITS: TIME [ms], LUMINOSITY [1e52 erg/s], ENERGY [MeV]
# TIME	L_NU_E     	L_NU_BAR   	L_NU_X     	E_NU_E     	E_NU_BAR  	E_NU_X      	E2_NU_E    	E2_NU_BAR 	E2_NU_X
0.001 13.892986 2.7e-05 2.2e-05 10.897162 5.865874 0.853882 136.535061 45.895495 0.895261
0.002 10.753054 0.002475 0.000872 11.320288 5.361801 1.121537 146.149206 36.440746 1.743281
0.003 23.116752 0.35101 0.400377 12.602789 13.035285 3.842162 184.17866 195.770951 16.794097
0.004 57.391771 0.298512 0.704461 14.500381 12.977888 5.853819 240.128356 200.794607 47.720471
0.005 37.959369 0.349489 0.579276 13.020076 11.559691 6.559693 196.630655 155.734898 66.511223
0.006 35.779631 0.443135 0.489998 12.786411 11.46055 5.877493 187.784776 152.377566 53.832008
0.007 29.106216 0.513048 0.501886 12.064289 11.20049 5.083365 168.171412 145.022295 38.24503
0.008 26.396524 0.527801 0.65949 11.638601 10.92342 4.643627 156.760911 138.0081 29.448874
0.009 25.52672 0.468101 0.831548 11.415496 10.570785 4.499184 151.314671 129.807479 26.597404
0.01 23.49617 0.439123 0.946086 11.150931 10.426276 4.462433 145.398628 126.820305 25.797112
0.011 22.15489 0.443295 0.995834 10.895748 10.524464 4.449442 139.650501 129.633006 25.533264
0.012 19.795476 0.471662 0.967916 10.531689 10.547434 4.317698 131.40386 130.411238 24.060986
0.013 17.484996 0.508418 0.909525 10.188423 10.428165 4.218517 122.922038 127.141487 22.836476
0.014 15.053933 0.608786 0.900514 9.821377 10.468616 4.223916 113.729765 127.12679 22.629548
0.015 13.372782 0.72318 0.888559 9.523067 10.51468 4.242049 106.256497 128.133227 22.778945
0.016 12.488031 0.882187 0.921261 9.385521 10.536941 4.18153 102.798752 128.603515 22.150357
0.017 12.233158 1.09213 1.084518 9.397643 10.658495 4.129272 103.031663 131.914911 21.499466
0.018 12.703926 1.313605 1.328764 9.547943 10.839265 4.112341 106.528924 136.800594 21.298569
0.019 13.322783 1.528404 1.57265 9.754662 11.014214 4.140447 111.2413 141.746165 21.578956
0.02 13.624475 1.685756 1.767233 9.908241 11.009352 4.108197 114.705585 141.601954 21.249457
0.021 12.616747 1.806758 1.940595 9.75352 11.095087 4.149079 111.216157 143.99053 21.640918
