####### LIGHTCURVES AND MEAN ENERGIES
####### 3 NEUTRINO SPECIES: NU_E, NUBAR_E AND N_X
####### ALL QUANTITIES ARE MEASURED AT 500 KM FROM THE CENTER
#######
####### FROM MODEL L1-0 (BUGLI ET AL. 2020,2021)
####### B0=1e12 G, l=1, r0=1.00e8 cm
####### UNITS: TIME [s], LUMINOSITY [erg/s], ENERGY [MeV]
# TIME	L_NU_E     	L_NU_BAR   	L_NU_X     	E_NU_E     	E_NU_BAR  	E_NU_X      	E2_NU_E    	E2_NU_BAR 	E2_NU_X
0.001 1.2874677e+53 2.5999999999999996e+47 2.1e+47 10.831382 5.76366 0.850793 135.225312 44.382072 0.882302
0.002 9.934394e+52 9.979999999999999e+48 3.4200000000000005e+48 11.259926 4.728618 1.055384 144.995987 27.970436 1.427204
0.003 2.0626193e+53 3.0169e+51 3.38722e+51 12.443704 13.068347 3.774135 179.87346 196.618189 15.916191
0.004 5.045368899999999e+53 2.52712e+51 6.09208e+51 14.398218 13.067485 5.889246 237.786699 204.929637 47.855643
0.005 3.2652793e+53 2.9635899999999997e+51 5.26869e+51 12.876545 11.561954 6.797622 193.632544 156.545492 71.175308
0.006 2.9015588e+53 3.62218e+51 4.25244e+51 12.673163 11.458134 6.092119 185.649445 152.621301 58.403361
0.007 2.0932491e+53 4.05348e+51 4.1715999999999994e+51 11.901456 11.166088 5.207342 165.488182 144.184271 41.128984
0.008 1.6824043e+53 4.0476400000000003e+51 5.26822e+51 11.349964 10.885465 4.695904 151.129287 137.218441 30.839505
0.009 1.4779271e+53 3.54072e+51 6.54112e+51 11.032872 10.502265 4.522754 143.851305 128.507813 27.424737
0.01 1.3768856e+53 3.4784599999999996e+51 7.61244e+51 10.649134 10.266935 4.466807 135.156201 123.339728 26.300389
0.011 1.3369103e+53 3.7171e+51 8.36079e+51 10.296943 10.299837 4.450198 127.116056 124.675175 25.879252
0.012 1.3017618e+53 4.23634e+51 8.63208e+51 10.016456 10.323308 4.28713 121.444805 125.489083 23.964802
0.013 1.3574617e+53 4.95966e+51 8.72799e+51 9.843082 10.25189 4.173813 116.342392 123.03724 22.480654
0.014 1.3662083e+53 6.28556e+51 9.08639e+51 9.61618 10.360748 4.17863 110.086683 124.598446 22.159696
