####### LIGHTCURVES AND MEAN ENERGIES
####### 3 NEUTRINO SPECIES: NU_E, NUBAR_E AND N_X
####### ALL QUANTITIES ARE MEASURED AT 500 KM FROM THE CENTER
#######
####### FROM MODEL L1-0 (BUGLI ET AL. 2020,2021)
####### B0=1e12 G, l=1, r0=1.00e8 cm
####### UNITS: TIME [s], LUMINOSITY [erg/s], ENERGY [MeV]
# TIME	L_NU_E     	L_NU_BAR   	L_NU_X     	E_NU_E     	E_NU_BAR  	E_NU_X      	E2_NU_E    	E2_NU_BAR 	E2_NU_X
0.001 1.6042717e+53 3e+47 2.2e+47 11.031458 6.034987 0.860537 139.278071 48.453859 0.923053
0.002 1.2475960000000001e+53 5.586e+49 2.0400000000000002e+49 11.444961 6.384995 1.35355 148.588826 50.068618 2.550718
0.003 2.8607149e+53 5.01674e+51 5.75902e+51 12.940732 12.916961 3.93961 193.334198 193.115414 18.24929
0.004 7.3022547e+53 4.27446e+51 9.53314e+51 14.761664 12.978442 5.842141 246.27069 196.35957 47.896232
0.005 4.686240099999999e+53 4.7134199999999996e+51 7.13703e+51 13.423849 11.865574 6.244427 205.384527 161.921189 59.643919
0.006 4.636226099999999e+53 5.9485699999999996e+51 5.9902e+51 13.47575 11.861703 5.711367 205.819656 161.775932 49.117248
0.007 3.7249576e+53 6.72226e+51 6.08548e+51 12.564013 11.422058 5.11504 179.779606 149.669082 37.12611
0.008 3.9990962e+53 7.10056e+51 8.49037e+51 12.51556 11.124291 4.818524 177.522861 142.197999 30.456629
0.009 4.1030562e+53 6.22221e+51 1.123415e+52 12.562619 10.797303 4.752308 179.028189 134.403607 28.679384
0.01 3.5521445e+53 5.4815800000000003e+51 1.3050269999999998e+52 12.082476 10.944638 4.746965 166.140726 138.985323 28.26235
0.011 3.3829290999999997e+53 5.052370000000001e+51 1.313162e+52 12.606171 11.501225 4.808566 181.948211 152.377751 29.066067
0.012 2.4678173e+53 3.91462e+51 1.095313e+52 12.130701 11.621192 4.72434 170.561612 158.192651 28.316206
0.013 1.7792783e+53 3.19359e+51 8.56667e+51 11.314111 10.630774 4.541209 152.192906 135.731144 26.485232
0.014 1.3061598e+53 3.96362e+51 7.865910000000001e+51 10.090983 9.981725 4.434262 121.549548 117.313054 25.289622
0.015 1.1192093e+53 5.3719099999999995e+51 8.47252e+51 9.575713 10.33625 4.416562 108.028954 124.239607 24.862068
0.016 1.1766754e+53 6.41007e+51 9.08844e+51 9.479787 10.61911 4.36369 104.629216 131.634211 24.283279
0.017 1.0470724e+53 6.46936e+51 9.745219999999999e+51 9.849692 10.433361 4.251862 111.531412 129.492228 23.191691
0.018 6.38835e+52 6.63416e+51 1.0456479999999999e+52 9.82358 10.014769 4.065464 116.622789 120.521381 21.819868
0.019 5.298079000000001e+52 7.41914e+51 1.189773e+52 9.634489 9.908522 4.005784 117.07784 117.771154 21.300726
0.02 5.201926e+52 8.3809e+51 1.339423e+52 9.396652 9.981552 3.806217 110.97673 119.151895 19.08898
0.021 4.354044e+52 9.273169999999999e+51 1.527324e+52 8.825581 10.157167 3.71304 98.459143 121.501777 17.873623
0.022 4.4021939999999997e+52 8.14004e+51 1.658001e+52 8.417157 9.920993 3.748618 89.479285 116.523004 18.094497
0.023 4.478718e+52 8.90019e+51 1.9954579999999998e+52 7.988698 9.955587 3.768492 79.90903 116.20482 17.866824
0.024 4.370627e+52 1.020964e+52 2.226988e+52 7.444209 10.058678 3.802325 68.234939 119.341991 17.992956
0.025 5.113013e+52 1.1516040000000001e+52 2.510386e+52 7.419557 10.068717 3.825392 67.465583 119.256936 17.950498
0.026 5.840737e+52 1.17387e+52 2.577098e+52 7.306142 10.17387 3.8725 63.638683 121.481713 18.139125
0.027 6.307551e+52 1.1844079999999999e+52 2.558603e+52 7.189186 10.348248 3.89136 61.494877 126.330494 18.358186
0.028 6.3141e+52 1.183132e+52 2.479276e+52 6.933255 10.388958 3.961602 58.055728 128.779504 19.06281
0.029 6.200585e+52 1.1490830000000001e+52 2.4107919999999997e+52 6.733477 10.231481 3.955999 55.736455 126.649212 19.2166
0.03 6.253954e+52 1.254348e+52 2.420362e+52 6.729996 10.180029 3.940855 55.874695 125.893926 19.235922
0.031 6.481041e+52 1.612718e+52 2.5957530000000003e+52 6.72044 10.308486 3.919099 55.818069 126.922842 19.167006
0.032 6.208887e+52 2.089972e+52 2.6772710000000003e+52 6.8785 10.557106 3.892646 58.560874 131.914863 18.898846
0.033 5.965576999999999e+52 2.706387e+52 2.844567e+52 7.221548 10.898353 3.874646 63.654503 139.233693 18.639136
0.034 6.233798000000001e+52 3.532121e+52 3.1180629999999996e+52 7.726735 11.184683 3.885821 71.400751 146.252916 18.741377
0.035 6.148895e+52 3.67012e+52 3.2171599999999996e+52 7.785476 11.283898 3.925232 72.5907 149.000489 19.030051
0.036 5.861143e+52 3.640822e+52 3.268292e+52 7.726108 11.260675 3.94177 71.368381 148.740538 19.24051
0.037 6.441938999999999e+52 4.112605e+52 3.325415e+52 7.888456 11.248231 3.91055 73.713094 148.330103 19.164334
0.038 6.653326e+52 4.358383e+52 3.340902e+52 7.918988 11.257897 3.858468 74.400696 148.069939 18.722714
0.039 6.899542e+52 4.206166e+52 3.246154e+52 7.843298 11.112318 3.772765 73.047876 145.146982 17.908939
0.04 6.832410000000001e+52 4.027114e+52 3.162966e+52 7.738424 10.875961 3.704526 71.844536 140.1714 17.353234
0.041 6.570875e+52 3.645463e+52 2.9096600000000004e+52 7.636145 10.399986 3.567318 69.988101 129.203666 16.255544
0.042 6.305729e+52 3.4087519999999996e+52 2.745691e+52 7.562217 10.230551 3.503583 69.35626 125.722917 15.788006
0.043 6.795642e+52 3.625893e+52 2.955169e+52 7.669422 10.391935 3.527876 72.166612 129.733181 16.004829
0.044 6.826197e+52 3.6364399999999996e+52 2.9579460000000004e+52 7.747308 10.51911 3.591297 71.998903 132.126113 16.480296
0.045 7.407771e+52 4.179739e+52 3.318749e+52 8.474546 10.730024 3.654477 156.592971 136.729543 16.979163
0.046 6.900415e+52 3.888719e+52 2.969006e+52 7.740176 10.471116 3.550674 72.524242 131.054211 16.160941
0.047 6.388825e+52 4.308019e+52 3.213264e+52 9.998466 10.652757 3.594547 338.511148 135.092158 16.507663
0.048 6.990022e+52 4.667385e+52 3.371636e+52 7.891155 10.810996 3.629721 75.735059 138.710979 16.784919
0.049 6.188357e+52 4.6852260000000003e+52 3.287774e+52 7.710569 10.708568 3.578912 73.135883 136.417005 16.384516
0.05 5.880937e+52 4.833049e+52 3.242979e+52 7.673637 10.736812 3.552479 73.364749 137.036208 16.146127
0.051 6.091275000000001e+52 4.951671e+52 3.217358e+52 7.718859 10.665469 3.482651 74.023553 135.210101 15.515666
0.052 5.978010000000001e+52 5.134528e+52 3.2257950000000003e+52 7.524217 10.599259 3.434178 70.22259 133.641976 15.065203
0.053 5.723271000000001e+52 5.601522e+52 3.306609e+52 7.2643 10.565732 3.402153 66.023755 133.018776 14.787131
0.054 5.54022e+52 6.040249e+52 3.42897e+52 7.021947 10.621051 3.404495 61.796537 134.611833 14.791285
0.055 5.405993e+52 6.371898e+52 3.544705e+52 6.956907 10.70361 3.43772 60.760582 136.598424 15.077893
0.056 5.161262e+52 6.371814e+52 3.550413e+52 6.89748 10.721354 3.453651 59.944668 137.220176 15.235077
0.057 4.946857e+52 6.093062e+52 3.496183e+52 6.822513 10.586648 3.421071 58.842161 134.298778 15.043001
0.058 4.781465e+52 6.085919e+52 3.562097e+52 6.751993 10.49795 3.405877 57.836208 132.000024 14.937244
0.059 4.531357e+52 6.021496e+52 3.609064e+52 6.640035 10.382414 3.378845 56.069837 129.334202 14.696043
0.06 4.515354e+52 5.952499000000001e+52 3.613713e+52 6.58407 10.357648 3.396501 55.264444 128.759244 14.808492
0.061 4.4121980000000003e+52 6.010744e+52 3.7002830000000003e+52 6.652837 10.424271 3.43616 56.368441 130.672606 15.166754
0.062 4.5732470000000004e+52 6.089636e+52 3.765253e+52 6.70362 10.476816 3.460297 57.217693 131.846842 15.378084
0.063 4.6788230000000004e+52 6.285753999999999e+52 3.895463e+52 6.776728 10.534721 3.482756 58.346477 133.327005 15.54624
0.064 4.772903e+52 6.520065e+52 4.014276e+52 6.835795 10.594834 3.519844 59.335707 134.935064 15.861509
0.065 5.019959e+52 6.707049e+52 4.0880530000000006e+52 6.950345 10.753479 3.584769 61.133776 138.752069 16.389236
0.066 5.030268000000001e+52 6.787620999999999e+52 4.125806e+52 7.068976 10.892738 3.643669 63.192755 142.363325 16.930823
0.067 5.140159e+52 6.936317e+52 4.1631739999999997e+52 7.178585 11.015002 3.682534 65.07491 145.323498 17.30966
0.068 5.061072e+52 6.942713e+52 4.136356e+52 7.261209 11.10086 3.70021 66.527008 147.575274 17.523285
0.069 5.075148e+52 6.990358e+52 4.118409e+52 7.325839 11.162026 3.712838 67.659282 149.187062 17.675985
0.07 5.154984e+52 7.106862999999999e+52 4.105002e+52 7.369393 11.193195 3.714006 68.465285 149.962168 17.702327
0.071 5.267285e+52 7.22971e+52 4.104093e+52 7.414141 11.199001 3.70342 69.318357 150.090668 17.629224
0.072 5.321727e+52 7.282574e+52 4.0976049999999994e+52 7.405957 11.166638 3.678963 69.199524 149.131262 17.41716
0.073 5.391496e+52 7.344938e+52 4.07477e+52 7.389408 11.131294 3.654421 68.904736 148.009092 17.187414
0.074 5.410059e+52 7.403252e+52 4.0657680000000003e+52 7.346927 11.077372 3.62922 68.210507 146.619772 16.956138
0.075 5.481353000000001e+52 7.515805e+52 4.1040669999999996e+52 7.318232 11.041417 3.606245 67.785259 145.673552 16.750568
0.076 5.637396e+52 7.762746e+52 4.238359e+52 7.313137 11.028639 3.596491 67.777381 145.278886 16.626187
0.077 5.800225e+52 7.94169e+52 4.33452e+52 7.314601 11.055603 3.604798 67.769293 145.943529 16.686405
0.078 5.920533e+52 8.073121000000001e+52 4.399006e+52 7.323591 11.02618 3.585773 67.958181 145.276314 16.521799
0.079 6.243334e+52 8.524915e+52 4.6034309999999994e+52 7.350219 11.08219 3.594745 68.429519 146.713928 16.571884
0.08 6.49184e+52 8.747085e+52 4.7032309999999995e+52 7.36876 11.097612 3.598936 68.811339 147.257876 16.594298
0.081 6.619879e+52 8.764248000000001e+52 4.66113e+52 7.376336 11.072381 3.58788 68.978995 146.563095 16.474067
