####### LIGHTCURVES AND MEAN ENERGIES
####### 3 NEUTRINO SPECIES: NU_E, NUBAR_E AND N_X
####### ALL QUANTITIES ARE MEASURED AT 500 KM FROM THE CENTER
#######
####### FROM MODEL L1-0 (BUGLI ET AL. 2020,2021)
####### B0=1e12 G, l=1, r0=1.00e8 cm
####### UNITS: TIME [s], LUMINOSITY [erg/s], ENERGY [MeV]
# TIME	L_NU_E     	L_NU_BAR   	L_NU_X     	E_NU_E     	E_NU_BAR  	E_NU_X      	E2_NU_E    	E2_NU_BAR 	E2_NU_X
0.001 1.5853256e+53 3e+47 2.2e+47 11.023773 6.062581 0.860161 139.180479 48.812448 0.921498
0.002 1.2357495e+53 6.930999999999999e+49 2.744e+49 11.435856 6.665284 1.461358 148.458496 54.311927 2.874029
0.003 2.8723888e+53 4.26087e+51 5.09687e+51 12.930917 12.816534 3.918802 192.673633 189.163942 18.106767
0.004 7.3818808000000005e+53 4.15636e+51 8.85829e+51 14.718278 12.820388 5.755415 244.994317 191.578659 46.221154
0.005 5.5102412999999995e+53 4.73443e+51 7.49297e+51 13.404407 11.622304 5.984997 204.396845 155.598696 54.6447
0.006 5.5569926e+53 6.27145e+51 6.88479e+51 13.013652 11.465347 5.38565 191.009412 151.169858 43.509636
0.007 4.8828389999999996e+53 6.92563e+51 7.21553e+51 12.362513 11.271574 4.806533 173.543194 145.929553 32.42063
0.008 5.0030178e+53 7.20593e+51 9.43139e+51 12.008775 11.018621 4.458975 163.538947 139.426109 25.938383
0.009 5.0565413e+53 6.58931e+51 1.1697409999999999e+52 11.723192 10.598975 4.276923 156.120669 129.205687 23.132749
0.01 4.5800832e+53 6.135119999999999e+51 1.239392e+52 11.468723 10.383417 4.212699 150.667481 124.048556 22.373725
0.011 4.173893300000001e+53 6.18524e+51 1.1638409999999998e+52 11.118311 10.412954 4.177118 142.106978 125.261812 22.028886
0.012 3.2407583000000004e+53 6.46203e+51 1.0187049999999999e+52 10.717318 10.794994 4.13616 132.309829 133.545897 21.68795
0.013 2.3583618e+53 6.627910000000001e+51 9.49424e+51 10.284929 11.004367 4.121055 122.106221 138.307604 21.416503
0.014 1.9015526e+53 6.90549e+51 8.79294e+51 9.837126 11.177017 4.154533 110.284934 143.066281 21.860875
0.015 9.959837e+52 6.8932e+51 7.56865e+51 9.629543 10.706465 4.091452 108.672189 132.743314 21.553551
0.016 7.870286e+52 7.855609999999999e+51 7.31616e+51 8.851747 10.323275 3.908747 93.039202 123.988103 20.070704
0.017 6.878428000000001e+52 1.054978e+52 8.96259e+51 8.423823 10.323513 3.782006 84.481121 124.256162 18.652224
0.018 6.262944000000001e+52 1.2873639999999998e+52 1.156331e+52 8.121156 10.445841 3.759884 78.752061 127.440515 18.266305
0.019 6.400623999999999e+52 1.52707e+52 1.4734929999999998e+52 8.052101 10.520304 3.871794 77.747079 130.439503 19.17169
0.02 6.991068000000001e+52 1.662149e+52 1.679749e+52 8.307457 10.798079 3.934361 83.395323 136.906684 19.832643
0.021 6.960758000000001e+52 1.585293e+52 1.6901230000000001e+52 8.773514 11.013783 3.969477 92.392256 141.831401 20.290498
0.022 5.71304e+52 1.424894e+52 1.585318e+52 8.879535 10.829985 3.917249 95.529817 138.872174 20.16409
0.023 4.120164e+52 1.386347e+52 1.595042e+52 9.241413 10.852102 3.941179 104.737601 139.546265 20.35971
0.024 3.691462e+52 1.3061499999999998e+52 1.5587470000000002e+52 8.854552 10.578443 3.942217 96.561362 133.746415 20.552734
0.025 4.1652060000000005e+52 1.3952979999999998e+52 1.733909e+52 9.059797 10.691275 3.988422 101.254566 136.477421 20.819244
0.026 4.055809e+52 1.505273e+52 1.766349e+52 8.484766 10.759367 3.860984 88.556757 136.860489 19.557762
0.027 4.440245e+52 1.407198e+52 1.897829e+52 8.392553 10.577359 3.78243 85.927702 131.372567 18.564436
0.028 4.672407e+52 1.452382e+52 2.0489860000000003e+52 8.37431 10.580455 3.765707 85.409905 130.793972 18.279244
0.029 4.807121000000001e+52 1.39334e+52 2.205719e+52 8.194259 10.583193 3.798163 81.827775 129.642686 18.384581
0.03 5.345214999999999e+52 1.3721460000000002e+52 2.340567e+52 7.93819 10.769088 3.859074 76.034065 134.270851 18.782548
0.031 6.609229e+52 1.341015e+52 2.512362e+52 7.947556 10.597706 3.967765 76.937025 131.384243 19.696733
0.032 7.121125e+52 1.238489e+52 2.28117e+52 7.811902 10.647874 3.981838 74.785635 134.050261 19.830816
0.033 7.67092e+52 1.410191e+52 2.47422e+52 7.5682 10.75642 3.979396 70.469765 137.607532 19.580519
0.034 8.147792000000001e+52 1.5408219999999998e+52 2.68583e+52 7.41948 10.97326 4.025811 67.529711 143.410673 19.918916
0.035 7.967534999999999e+52 1.4282859999999999e+52 2.4470079999999997e+52 7.261423 10.678454 4.053793 65.114071 137.577414 20.285263
0.036 7.878699e+52 1.578721e+52 2.4031060000000003e+52 7.148483 10.444684 4.005488 63.323505 131.198762 20.001623
0.037 7.702009e+52 1.976202e+52 2.558582e+52 7.301156 10.499002 3.970724 65.398888 131.08317 19.672523
0.038 7.864298e+52 2.507175e+52 2.769879e+52 7.624196 10.628132 3.901294 69.541213 132.996005 18.969913
0.039 7.835461e+52 3.22568e+52 2.915197e+52 7.923154 10.918296 3.808402 72.951599 139.101813 18.145117
0.04 7.322099e+52 4.1739389999999997e+52 3.0991309999999996e+52 8.000543 11.276119 3.747091 76.041772 147.552275 17.529243
0.041 6.800811e+52 5.371136e+52 3.34188e+52 7.839701 11.500432 3.686646 74.463694 152.724954 16.979719
0.042 6.460291e+52 5.50917e+52 3.363002e+52 7.613239 11.401114 3.630565 70.446594 150.717006 16.459741
0.043 6.057387e+52 5.167295e+52 3.257435e+52 7.39612 11.055365 3.558846 67.083069 143.398949 15.941731
0.044 4.753788e+52 4.036663e+52 2.659908e+52 6.908126 10.272342 3.356439 59.691215 126.069524 14.4056
0.045 4.149519e+52 3.646322e+52 2.4530490000000003e+52 6.810663 10.097535 3.318723 58.626257 122.512946 14.172623
0.046 4.0806570000000004e+52 3.847896e+52 2.633392e+52 7.021617 10.52947 3.453972 61.283268 131.983077 15.253482
0.047 3.75403e+52 3.800608e+52 2.557924e+52 6.864147 10.543356 3.446571 58.41813 131.973186 15.191043
0.048 3.9727980000000003e+52 3.99082e+52 2.738606e+52 7.119522 10.912963 3.569295 62.083852 140.399155 16.194364
0.049 4.0565110000000004e+52 4.0992569999999997e+52 2.841583e+52 7.106999 10.886531 3.581499 61.898113 139.713958 16.3149
0.05 3.937322e+52 4.1933350000000004e+52 2.868308e+52 6.994986 10.868557 3.565485 60.402782 139.310252 16.158035
0.051 3.975031e+52 4.173278e+52 2.790095e+52 6.990189 10.833086 3.54132 60.536054 138.693884 15.985675
0.052 3.807286e+52 4.000732e+52 2.582761e+52 6.861421 10.601204 3.446357 58.837631 133.554378 15.266748
0.053 3.593153e+52 3.917492e+52 2.483891e+52 6.877544 10.550669 3.429996 59.311571 132.722542 15.180173
0.054 3.586228e+52 3.844943e+52 2.379073e+52 6.795505 10.418915 3.373076 58.192056 129.675988 14.707186
