####### LIGHTCURVES AND MEAN ENERGIES
####### 3 NEUTRINO SPECIES: NU_E, NUBAR_E AND N_X
####### ALL QUANTITIES ARE MEASURED AT 500 KM FROM THE CENTER
#######
####### FROM MODEL L1-90 (BUGLI ET AL. 2020,2021)
####### B0=1e12 G, l=1, r0=1.00e8 cm
####### UNITS: TIME [s], LUMINOSITY [erg/s], ENERGY [MeV]
# TIME	L_NU_E     	L_NU_BAR   	L_NU_X     	E_NU_E     	E_NU_BAR  	E_NU_X      	E2_NU_E    	E2_NU_BAR 	E2_NU_X
0.001 1.4250371e+53 2.5999999999999996e+47 2.1e+47 10.881258 5.81364 0.851161 136.206245 45.17547 0.885576
0.002 1.1286885e+53 2.12e+48 7.3e+47 11.307423 4.379536 1.189121 146.043747 28.001546 2.018051
0.003 1.774017e+53 3.81927e+51 3.8067400000000003e+51 12.016222 12.781845 3.630339 167.634814 187.484923 14.896716
0.004 5.7858587e+53 3.88259e+51 8.81405e+51 14.637746 13.432988 5.73286 244.297959 213.963071 45.035411
0.005 3.8640674e+53 3.9655899999999996e+51 7.21448e+51 13.212652 11.743577 6.804076 202.620106 160.96681 70.762124
0.006 3.4571258e+53 5.6157500000000005e+51 5.9007699999999995e+51 12.785138 11.834973 6.155904 187.626309 161.642376 58.740305
0.007 3.1270796e+53 6.33375e+51 5.84099e+51 12.52832 11.528078 5.274763 180.413342 153.660828 41.404258
0.008 2.7702743e+53 7.483220000000001e+51 7.56222e+51 11.935789 11.638862 4.862373 163.579478 156.776341 32.276295
0.009 2.8794814e+53 7.22558e+51 8.92382e+51 12.138032 11.50194 4.705941 169.985791 153.451282 29.12637
0.01 2.5798094e+53 6.9664e+51 9.76212e+51 11.721858 11.401334 4.523967 159.871636 150.958208 26.68931
0.011 2.3058485e+53 6.89736e+51 1.028593e+52 11.268776 11.219145 4.36756 148.877154 147.017091 24.768856
0.012 2.1212109000000002e+53 6.83311e+51 1.042537e+52 10.890665 10.956027 4.203596 139.276534 140.341296 22.797083
0.013 1.8542840000000002e+53 7.25151e+51 1.043095e+52 10.517817 10.778748 4.149163 130.110497 135.722891 21.946093
0.014 1.5804715e+53 8.68581e+51 1.123704e+52 10.090215 10.809916 4.161539 119.330387 135.784828 21.830728
0.015 1.3949336e+53 1.056295e+52 1.244869e+52 9.768163 10.968851 4.227382 111.275339 139.651326 22.47411
0.016 1.3496798e+53 1.247825e+52 1.371658e+52 9.702017 11.048733 4.259376 109.281248 141.645467 22.882697
0.017 1.3470633e+53 1.485559e+52 1.5313779999999998e+52 9.782124 11.167766 4.268038 110.989566 144.742706 23.01188
0.018 1.3412101e+53 1.685913e+52 1.696044e+52 9.859918 11.188406 4.260696 112.696616 145.465294 22.977384
0.019 1.3232576e+53 1.896625e+52 1.870766e+52 9.922505 11.226001 4.234769 114.274462 146.630919 22.718426
0.02 1.2558044e+53 2.0978460000000002e+52 2.0609579999999997e+52 9.862682 11.262607 4.21508 113.227751 147.594065 22.499667
0.021 1.1842839e+53 2.243883e+52 2.2256260000000002e+52 9.740217 11.306685 4.207308 110.816336 148.811894 22.412539
0.022 1.1275646e+53 2.2943120000000002e+52 2.3452459999999998e+52 9.620672 11.29674 4.207994 108.543694 148.467712 22.397286
0.023 1.0665067e+53 2.2649740000000001e+52 2.3902160000000002e+52 9.469101 11.241445 4.20921 105.533076 146.972756 22.419259
0.024 9.930955e+52 2.2596949999999998e+52 2.39908e+52 9.290582 11.214433 4.209631 101.972225 146.198352 22.454645
0.025 9.170947999999999e+52 2.3436720000000002e+52 2.439224e+52 9.096146 11.214827 4.20065 97.970117 145.933333 22.348199
0.026 8.665623e+52 2.440995e+52 2.433043e+52 8.968919 11.261647 4.207323 95.281954 147.414142 22.505072
0.027 8.338398e+52 2.6055e+52 2.472274e+52 8.913587 11.296424 4.188244 94.201011 148.052093 22.299719
0.028 8.183716e+52 2.805504e+52 2.5260929999999997e+52 8.899105 11.389457 4.183137 93.942211 150.534904 22.264957
0.029 8.205643e+52 2.99576e+52 2.5668329999999997e+52 8.942267 11.459605 4.170511 94.865352 152.425985 22.147179
0.03 8.267293000000001e+52 3.1980949999999996e+52 2.619297e+52 9.001044 11.526478 4.154582 96.204074 154.220431 21.966617
0.031 8.268898999999999e+52 3.386581e+52 2.67306e+52 9.031067 11.593506 4.141665 96.913434 156.097264 21.81973
0.032 8.138849e+52 3.549957e+52 2.730612e+52 9.020561 11.653314 4.13033 96.858912 157.735242 21.677776
