####### LIGHTCURVES AND MEAN ENERGIES
####### 3 NEUTRINO SPECIES: NU_E, NUBAR_E AND N_X
####### ALL QUANTITIES ARE MEASURED AT 500 KM FROM THE CENTER
#######
####### FROM MODEL L1-90 (BUGLI ET AL. 2020,2021)
####### B0=1e12 G, l=1, r0=1.00e8 cm
####### UNITS: TIME [ms], LUMINOSITY [1e52 erg/s], ENERGY [MeV]
# TIME	L_NU_E     	L_NU_BAR   	L_NU_X     	E_NU_E     	E_NU_BAR  	E_NU_X      	E2_NU_E    	E2_NU_BAR 	E2_NU_X
0.001 13.372369 2.5e-05 2.1e-05 10.809687 5.735157 0.848823 134.720266 43.960362 0.875602
0.002 10.518275 5.4e-05 3.9e-05 11.245599 5.926848 1.10141 144.81658 49.976251 1.806544
0.003 15.839027 0.334492 0.321784 11.821569 12.764759 3.579485 162.694684 186.982144 14.332691
0.004 51.597693 0.334573 0.758961 14.550778 13.544435 5.704403 242.127501 218.353244 44.169867
0.005 32.959319 0.3519 0.665221 13.047581 11.740039 7.01317 199.386038 161.523668 74.809642
0.006 31.252461 0.499744 0.527905 12.788113 11.857153 6.324101 188.233743 162.480818 62.482653
0.007 28.543398 0.55884 0.510682 12.477242 11.520913 5.363442 179.441747 153.700984 43.622769
0.008 24.54949 0.669173 0.660302 11.834113 11.695426 4.901685 161.230485 158.208861 33.214491
0.009 24.268749 0.649511 0.777772 11.999859 11.558378 4.750139 166.916554 154.424686 29.884359
0.01 22.934846 0.623218 0.870572 11.695636 11.437432 4.572111 159.442258 151.642116 27.364833
0.011 19.089977 0.621984 0.917389 11.045508 11.243667 4.386781 144.133795 147.846558 25.235157
0.012 15.80464 0.681 0.965705 10.579302 11.056409 4.205288 133.290144 142.767193 23.023373
0.013 14.385315 0.735388 0.979117 10.16059 10.885305 4.156359 122.33484 138.406539 22.201766
0.014 13.50791 0.866635 1.038757 9.808361 10.819278 4.151602 113.486499 136.250936 21.875273
0.015 12.032024 1.052787 1.14017 9.495916 10.881906 4.210419 105.735867 138.147593 22.440035
0.016 11.360171 1.291056 1.306629 9.428445 10.972428 4.22323 104.122476 140.389822 22.60541
0.017 12.473234 1.48388 1.479563 9.681015 11.011911 4.254094 109.137837 141.625918 22.930506
0.018 13.866975 1.735905 1.667014 9.869352 11.105335 4.235125 112.950109 143.773164 22.763414
0.019 14.731256 1.96388 1.84553 9.966215 11.103522 4.187773 114.99194 143.541657 22.302791
0.02 15.203259 2.152021 2.078547 10.118173 11.079558 4.164374 118.51728 142.839602 21.978443
0.021 15.135939 2.185503 2.290446 10.139571 11.076945 4.168233 119.016962 142.682875 21.963329
0.022 14.398155 2.11275 2.457622 10.015256 11.01977 4.199285 116.469771 141.293889 22.211689
0.023 12.462122 2.005718 2.413665 9.839834 10.996156 4.229588 112.615411 141.531217 22.625301
0.024 10.186168 2.020743 2.310348 9.548834 11.121435 4.271636 106.990835 144.19149 23.159854
0.025 8.212208 2.169842 2.223055 9.103902 11.240979 4.251673 98.124241 146.701172 23.03682
0.026 6.907922 2.307902 2.123632 8.768154 11.349149 4.216341 91.366875 149.742944 22.807718
0.027 6.352935 2.405413 2.09321 8.624071 11.340138 4.156791 88.48212 149.308982 22.18786
0.028 6.014435 2.559056 2.139342 8.4521 11.342673 4.10104 85.498972 149.48212 21.592599
0.029 5.7829 2.704441 2.189348 8.342182 11.349556 4.074219 83.510346 149.900034 21.310862
0.03 5.539264 2.830691 2.240376 8.261186 11.393448 4.063499 82.203904 151.084634 21.14666
0.031 5.398927 2.979271 2.282637 8.237059 11.458884 4.058274 81.949602 152.942278 21.102955
0.032 5.324656 3.197128 2.34426 8.250405 11.524406 4.03543 82.292213 154.62608 20.855403
0.033 5.504449 3.405181 2.45298 8.364949 11.622359 4.044337 84.592865 157.274353 20.906116
0.034 5.775606 3.499367 2.535192 8.508012 11.673294 4.058232 87.480529 158.778442 21.030902
0.035 6.049734 3.591275 2.637216 8.582921 11.756105 4.099954 88.979329 160.920358 21.385203
0.036 6.672201 3.612821 2.691199 8.694843 11.799646 4.121211 91.000101 162.056796 21.597434
0.037 7.03747 3.720453 2.801729 8.760132 11.85912 4.134137 92.131317 163.198509 21.654542
0.038 7.373897 3.837136 2.896009 8.828869 11.953148 4.167864 93.213103 165.610384 21.954408
0.039 7.27809 3.838141 2.907667 8.781379 11.9333 4.168941 92.229995 164.85514 21.953915
0.04 7.042915 3.788902 2.856097 8.747458 11.820837 4.156266 91.478632 161.770608 21.845053
0.041 6.992043 3.770455 2.806365 8.70029 11.785631 4.145594 90.319545 160.890284 21.747453
0.042 6.518592 3.679307 2.775472 8.67268 11.69565 4.13211 89.904903 158.900165 21.666017
0.043 6.488395 3.709771 2.749947 8.674225 11.635997 4.121085 89.922552 157.257661 21.515374
0.044 5.996849 3.844373 2.732108 8.588257 11.710696 4.121073 88.534108 159.517078 21.533725
0.045 5.813145 3.914861 2.714543 8.482063 11.76331 4.0958 86.650493 160.785954 21.261096
0.046 5.362982 3.930145 2.675494 8.342833 11.793084 4.073096 84.246412 161.689368 21.034905
0.047 5.194999 3.985813 2.658875 8.234075 11.896711 4.083336 82.303908 164.447762 21.122215
0.048 5.011581 4.087086 2.659162 8.165307 11.910868 4.069173 81.094481 164.674959 20.99023
0.049 4.813465 4.246684 2.666283 8.086986 11.967791 4.062509 79.787439 166.078717 20.917127
