####### LIGHTCURVES AND MEAN ENERGIES
####### 3 NEUTRINO SPECIES: NU_E, NUBAR_E AND N_X
####### ALL QUANTITIES ARE MEASURED AT 500 KM FROM THE CENTER
#######
####### FROM MODEL L1-90 (BUGLI ET AL. 2020,2021)
####### B0=1e12 G, l=1, r0=1.00e8 cm 
####### UNITS: TIME [s], LUMINOSITY [erg/s], ENERGY [MeV]
# TIME	L_NU_E     	L_NU_BAR   	L_NU_X     	E_NU_E     	E_NU_BAR  	E_NU_X      	E2_NU_E    	E2_NU_BAR 	E2_NU_X
0.001 1.6164784e+53 2.8e+47 2.2e+47 10.994297 5.968863 0.856318 138.494652 47.56675 0.907445
0.002 1.2941151e+53 6.03e+48 1.77e+48 11.392669 3.947127 1.291126 147.630234 19.920997 2.432426
0.003 2.1481642e+53 4.7149600000000004e+51 4.9198999999999996e+51 12.314537 12.613396 3.690285 175.086644 182.886527 15.721509
0.004 7.2779745e+53 5.19828e+51 1.127975e+52 14.884716 13.271873 5.704135 250.744258 206.238789 44.856083
0.005 5.0456816e+53 4.99872e+51 8.62369e+51 13.591507 11.907804 6.365768 210.059992 163.544266 61.981692
0.006 4.2259593e+53 7.1129e+51 7.39423e+51 13.110802 11.896213 5.794231 195.541806 162.779314 50.934193
0.007 4.0672651e+53 8.01273e+51 7.59404e+51 12.731947 11.453607 5.038671 184.749927 151.524779 36.422386
0.008 3.6758802e+53 9.16978e+51 1.007697e+52 12.135439 11.285483 4.714352 168.049552 148.003694 29.558652
0.009 3.9851885e+53 8.46727e+51 1.190775e+52 12.278369 11.066296 4.572446 173.038972 142.143173 27.098544
0.01 3.8187244999999996e+53 8.52899e+51 1.2797540000000002e+52 12.068006 11.112761 4.422877 167.797381 143.027438 25.079663
0.011 3.6093459000000004e+53 8.75974e+51 1.302503e+52 11.705434 11.225391 4.314922 157.811114 145.289972 23.762482
0.012 3.0787646e+53 8.63246e+51 1.304134e+52 11.170171 11.022564 4.178766 144.41624 140.378816 22.08531
0.013 2.7002264e+53 8.8946e+51 1.266774e+52 10.916708 10.8136 4.155122 137.945058 135.85925 21.751671
0.014 2.1150284e+53 9.964950000000001e+51 1.3002510000000001e+52 10.485659 10.79862 4.177646 127.551442 135.103953 21.923494
0.015 1.8064208e+53 1.1310679999999999e+52 1.375241e+52 10.170977 10.77209 4.212728 119.922792 134.815937 22.377857
0.016 1.5426583e+53 1.317787e+52 1.511667e+52 9.857943 10.779088 4.222118 112.578772 135.079686 22.599897
0.017 1.5144639e+53 1.622323e+52 1.743161e+52 9.663408 10.805796 4.212894 108.024588 135.929659 22.427538
0.018 1.6039276999999998e+53 1.909146e+52 2.0056820000000002e+52 9.757226 10.784331 4.18699 109.904707 135.933976 22.198725
0.019 1.6904221e+53 2.315102e+52 2.3069039999999998e+52 9.862288 10.893822 4.155517 112.646963 138.632316 21.811812
0.02 1.6521287000000002e+53 2.6632189999999996e+52 2.595898e+52 9.803918 10.947924 4.130307 111.575554 140.065761 21.471715
0.021 1.5503517999999999e+53 2.804564e+52 2.782896e+52 9.763194 11.042536 4.137442 110.620891 142.324958 21.541516
0.022 1.478943e+53 2.8359109999999996e+52 2.9034589999999995e+52 9.700573 11.027 4.150088 109.296895 142.173465 21.676778
0.023 1.4503772e+53 2.841681e+52 2.994335e+52 9.621325 10.933063 4.149575 107.741044 139.841987 21.653028
0.024 1.3370262e+53 2.866026e+52 3.045924e+52 9.426876 10.94937 4.167826 104.002148 140.16028 21.868928
0.025 1.2477464e+53 2.94178e+52 3.111559e+52 9.356653 10.991751 4.188219 102.600288 140.911403 22.08172
0.026 1.2028987000000001e+53 3.039778e+52 3.106233e+52 9.29678 11.050621 4.198456 101.187119 142.594105 22.303226
0.027 1.0759218999999999e+53 3.1836769999999997e+52 3.135278e+52 9.276699 11.074312 4.178991 101.120044 143.140021 22.151412
0.028 1.0613089e+53 3.249191e+52 3.127056e+52 9.372611 11.149359 4.190473 103.02012 145.332717 22.347245
0.029 1.0967412e+53 3.426832e+52 3.156742e+52 9.470012 11.232107 4.195615 105.127572 147.539175 22.413251
0.03 1.1236522e+53 3.6290619999999996e+52 3.196539e+52 9.52278 11.361623 4.194787 106.3536 150.861356 22.365236
0.031 1.1279533e+53 3.894567e+52 3.254534e+52 9.577059 11.528033 4.19604 107.519737 155.01415 22.349472
0.032 1.1354979e+53 4.1567429999999997e+52 3.3268879999999997e+52 9.585044 11.624448 4.188625 107.594014 157.528882 22.232667
0.033 1.0974659e+53 4.362509e+52 3.402268e+52 9.551635 11.70442 4.184186 107.044389 159.470192 22.146644
0.034 1.0740024e+53 4.508811e+52 3.490227e+52 9.471365 11.752491 4.184471 105.463741 160.788506 22.142699
0.035 1.0997176e+53 4.645312e+52 3.614312e+52 9.44076 11.80841 4.211708 104.717165 162.043544 22.362813
0.036 1.1023046000000002e+53 4.578897e+52 3.5978370000000004e+52 9.464899 11.829644 4.233868 105.035052 162.515863 22.582796
0.037 1.0984334999999999e+53 4.5962699999999997e+52 3.623931e+52 9.431988 11.835436 4.226878 104.407704 162.15684 22.47383
0.038 1.0440247e+53 4.598358e+52 3.648339e+52 9.343058 11.881297 4.236166 102.642026 163.332069 22.581728
0.039 1.0147216e+53 4.6248560000000005e+52 3.6443050000000003e+52 9.279554 11.892246 4.245077 101.429679 163.474052 22.687895
0.04 9.729177e+52 4.563016e+52 3.615026e+52 9.168007 11.83658 4.227329 99.365543 162.032312 22.540956
0.041 9.641328e+52 4.564712e+52 3.598315e+52 9.109363 11.837737 4.231472 98.381419 162.040201 22.588681
0.042 9.166555000000001e+52 4.63529e+52 3.603314e+52 9.028799 11.774852 4.19425 96.848113 160.223497 22.236407
0.043 8.994414000000001e+52 4.6431779999999997e+52 3.582246e+52 9.109098 11.823137 4.20972 98.52649 161.765117 22.430573
