####### LIGHTCURVES AND MEAN ENERGIES
####### 3 NEUTRINO SPECIES: NU_E, NUBAR_E AND N_X
####### ALL QUANTITIES ARE MEASURED AT 500 KM FROM THE CENTER
#######
####### FROM MODEL L2-0A (BUGLI ET AL. 2020,2021)
####### B0=1e12 G, l=2, r0=1.00e8 cm
####### UNITS: TIME [s], LUMINOSITY [erg/s], ENERGY [MeV]
# TIME	L_NU_E     	L_NU_BAR   	L_NU_X     	E_NU_E     	E_NU_BAR  	E_NU_X      	E2_NU_E    	E2_NU_BAR 	E2_NU_X
0.001 1.3028831e+53 3.4999999999999997e+47 2.3e+47 11.127317 6.015983 0.875129 141.938127 48.388521 0.972228
0.002 9.449519999999999e+52 1.02289e+51 6.1384e+50 11.139347 9.993677 2.530739 143.250462 115.61475 7.748752
0.003 4.7876343e+53 5.24404e+51 8.14052e+51 14.453325 14.045592 4.704226 238.70801 229.273607 27.702161
0.004 4.8344726999999996e+53 3.51038e+51 8.22136e+51 13.968773 12.255079 6.706591 225.130075 179.294483 66.022966
0.005 3.3550086e+53 5.08042e+51 6.30189e+51 12.613017 11.840689 6.614201 183.457616 162.226461 67.967616
0.006 3.3060423e+53 6.23294e+51 5.6630499999999995e+51 12.652545 11.789775 5.757103 183.480164 160.946562 50.458979
0.007 2.8266919e+53 7.23648e+51 6.70377e+51 12.154025 11.574963 4.962198 170.035612 155.223414 35.011319
0.008 3.0298941e+53 7.455000000000001e+51 9.113400000000001e+51 12.207359 11.716291 4.789156 170.729276 160.070212 30.283331
0.009 2.7756087999999996e+53 6.67765e+51 1.018999e+52 12.029193 11.518754 4.619376 168.786141 154.766222 27.704625
0.01 2.6284035e+53 5.6296900000000004e+51 9.92956e+51 11.63947 11.117382 4.435655 158.976933 145.366893 25.70191
0.011 2.2952284e+53 5.2697899999999996e+51 9.44869e+51 11.043916 10.830286 4.304072 143.724384 137.646658 23.965221
0.012 1.9942402999999997e+53 5.6285300000000003e+51 8.90867e+51 10.632532 10.588353 4.168064 133.331055 130.876341 22.289377
0.013 1.6210125999999999e+53 6.51061e+51 8.99786e+51 9.985815 10.514205 4.124774 117.165527 128.876424 21.58349
0.014 1.4060732e+53 7.91636e+51 9.97289e+51 9.611338 10.545285 4.099172 108.002465 129.497845 21.123197
0.015 1.3178073e+53 9.8744e+51 1.1556090000000001e+52 9.489195 10.728619 4.121118 104.889826 133.977324 21.25769
0.016 1.3062491e+53 1.20514e+52 1.317869e+52 9.525904 10.903031 4.132453 105.445376 138.474245 21.387391
0.017 1.3250024e+53 1.465672e+52 1.47118e+52 9.680573 11.086216 4.176817 108.787923 142.944377 21.835111
0.018 1.3172356e+53 1.701855e+52 1.615586e+52 9.763479 11.169291 4.193649 110.632346 144.937157 22.074275
