####### LIGHTCURVES AND MEAN ENERGIES
####### 3 NEUTRINO SPECIES: NU_E, NUBAR_E AND N_X
####### ALL QUANTITIES ARE MEASURED AT 500 KM FROM THE CENTER
#######
####### FROM MODEL L2-0A (BUGLI ET AL. 2020,2021)
####### B0=1e12 G, l=2, r0=1.00e8 cm
####### UNITS: TIME [s], LUMINOSITY [erg/s], ENERGY [MeV]
# TIME	L_NU_E     	L_NU_BAR   	L_NU_X     	E_NU_E     	E_NU_BAR  	E_NU_X      	E2_NU_E    	E2_NU_BAR 	E2_NU_X
0.001 1.2167643999999999e+53 3.3000000000000003e+47 2.3e+47 11.062707 5.935587 0.869917 140.635271 47.126807 0.950867
0.002 8.710542999999999e+52 8.4633e+50 4.6595e+50 11.089987 9.758 2.346546 142.43966 109.868695 6.581321
0.003 4.3042994e+53 4.51247e+51 7.02963e+51 14.310186 14.057522 4.620199 234.551347 229.570621 26.248243
0.004 4.2296374e+53 3.0001800000000003e+51 7.420590000000001e+51 13.836295 12.212519 6.871253 222.449284 179.501466 68.992042
0.005 3.0500192999999998e+53 4.48151e+51 5.74743e+51 12.53314 11.838897 6.810466 181.738724 162.353954 72.084053
0.006 2.9461059e+53 5.4986199999999996e+51 5.04557e+51 12.510437 11.854182 5.913629 180.038101 162.657389 53.799151
0.007 2.4342925999999997e+53 6.45419e+51 5.95567e+51 12.002635 11.686583 5.040691 166.375105 158.044739 36.559414
0.008 2.671921e+53 6.503710000000001e+51 8.02901e+51 12.114888 11.840295 4.861454 168.444564 163.203123 31.354658
0.009 2.2422982999999997e+53 5.7977e+51 8.96113e+51 11.921986 11.678924 4.702949 166.643998 159.013219 28.805084
0.01 2.2964752e+53 5.0105999999999994e+51 9.09972e+51 11.674932 11.191509 4.482852 159.915175 147.46751 26.358688
0.011 2.0139835e+53 4.82559e+51 8.898169999999999e+51 10.910262 10.821371 4.330136 140.710355 137.277918 24.341493
0.012 1.8569741000000001e+53 5.4347e+51 8.552370000000001e+51 10.567037 10.593486 4.19306 131.689592 130.518541 22.599256
0.013 1.6011864e+53 6.35077e+51 8.80575e+51 9.959557 10.523824 4.117276 116.284984 128.594898 21.545991
0.014 1.3926637e+53 7.79941e+51 9.81213e+51 9.56365 10.572558 4.092125 106.912459 129.908829 21.05575
