####### LIGHTCURVES AND MEAN ENERGIES
####### 3 NEUTRINO SPECIES: NU_E, NUBAR_E AND N_X
####### ALL QUANTITIES ARE MEASURED AT 500 KM FROM THE CENTER
#######
####### FROM MODEL L2-0A (BUGLI ET AL. 2020,2021)
####### B0=1e12 G, l=2, r0=1.00e8 cm
####### UNITS: TIME [s], LUMINOSITY [erg/s], ENERGY [MeV]
# TIME	L_NU_E     	L_NU_BAR   	L_NU_X     	E_NU_E     	E_NU_BAR  	E_NU_X      	E2_NU_E    	E2_NU_BAR 	E2_NU_X
0.001 1.5173945e+53 4e+47 2.4e+47 11.2207 6.122669 0.892594 143.766266 50.089241 1.03866
0.002 1.1499079e+53 1.631e+51 1.20237e+51 11.226336 10.626831 2.901778 144.618209 130.823374 9.993547
0.003 6.1141954e+53 7.33186e+51 1.127238e+52 14.710604 13.96954 4.894853 246.138723 226.172005 30.923445
0.004 6.30567e+53 4.81621e+51 9.97916e+51 14.294416 12.610701 6.472168 232.530771 185.70091 61.966797
0.005 4.1349086e+53 6.575250000000001e+51 7.58291e+51 12.76155 12.196541 6.332317 185.82382 170.321526 61.510798
0.006 3.7363534000000002e+53 7.46441e+51 6.86362e+51 12.865296 12.101817 5.655203 189.810371 167.856057 47.009348
0.007 3.5604368999999998e+53 8.14499e+51 7.8498e+51 12.249823 11.936383 4.998319 171.710727 163.502487 34.363477
0.008 3.1738092000000003e+53 8.161340000000001e+51 1.0018940000000001e+52 12.36659 12.03105 4.886666 175.136377 166.990338 30.893795
0.009 3.0498176e+53 6.616419999999999e+51 1.0826819999999999e+52 12.037377 11.816424 4.741501 167.01581 160.783852 28.622562
0.01 2.4560469000000003e+53 5.293480000000001e+51 9.84444e+51 12.00847 11.542353 4.61761 169.710555 154.32287 27.455226
0.011 1.8629446999999999e+53 4.2165999999999996e+51 8.77998e+51 11.336713 10.859204 4.426947 152.773506 140.794813 25.388583
0.012 1.4022736e+53 4.93905e+51 8.52523e+51 10.543861 10.486066 4.153137 133.069556 128.867297 22.336965
0.013 1.1490428e+53 5.7749899999999995e+51 8.45992e+51 9.885997 10.472662 4.217035 116.253449 128.732977 22.750386
0.014 1.0576435e+53 6.475459999999999e+51 8.7331e+51 9.6105 10.344407 4.05119 107.793511 125.398503 20.963856
0.015 8.267068e+52 8.298710000000001e+51 1.017431e+52 9.396954 10.482932 4.070272 102.277281 130.125762 21.052357
0.016 6.009165999999999e+52 1.1233629999999999e+52 1.223391e+52 8.859227 10.784281 3.995135 93.916461 134.825446 20.4767
0.017 7.004755e+52 1.290786e+52 1.346229e+52 9.479939 10.95582 4.066071 106.393109 138.821558 21.040386
0.018 6.528751e+52 1.2912889999999998e+52 1.346687e+52 10.206789 10.809089 4.091436 120.316856 136.217595 21.569683
0.019 5.047037000000001e+52 1.292052e+52 1.404421e+52 10.036031 10.770618 4.017406 121.029937 135.569481 20.965452
0.02 4.948392e+52 1.3484199999999999e+52 1.531015e+52 9.65292 10.718666 3.968304 113.635152 134.271715 20.434561
0.021 5.514977e+52 1.616926e+52 1.71504e+52 9.263605 10.940764 3.898355 103.41703 138.173716 19.476125
0.022 6.309416e+52 1.666803e+52 1.817917e+52 8.876612 11.062791 3.895997 93.875775 141.170184 19.168774
0.023 6.916589e+52 1.8020519999999999e+52 1.981109e+52 8.460868 11.149964 3.884334 85.652551 142.616772 18.94459
0.024 7.685843e+52 1.703037e+52 2.066789e+52 8.21831 11.051423 3.875851 80.937361 139.121846 18.821307
0.025 8.239157e+52 1.692696e+52 2.1913209999999998e+52 8.12177 11.024873 3.909042 79.478759 138.274421 19.105367
0.026 8.651756e+52 1.702984e+52 2.3448769999999998e+52 8.079734 10.993632 3.964453 78.335011 138.261476 19.681713
0.027 8.062402e+52 1.8459250000000002e+52 2.524484e+52 8.036946 11.131715 3.963135 77.587477 142.458957 19.425411
0.028 7.708473999999999e+52 1.882242e+52 2.5736349999999997e+52 7.927128 11.210697 3.964083 75.560868 145.024165 19.291195
0.029 8.283576999999999e+52 1.820609e+52 2.612365e+52 7.902251 11.256889 4.007792 74.851085 147.400753 19.624095
0.03 8.038314e+52 1.976525e+52 2.6188950000000003e+52 7.891889 11.183647 4.03952 75.059334 145.758846 20.001435
0.031 7.753988999999999e+52 2.399491e+52 2.646855e+52 7.96284 11.178819 3.97534 76.097032 144.698806 19.555642
0.032 7.306244e+52 2.6499760000000003e+52 2.67042e+52 8.003023 11.267144 3.946889 76.36698 146.452746 19.30168
0.033 7.502850999999999e+52 3.1037330000000003e+52 2.800867e+52 8.197288 11.431181 3.938971 79.472899 150.052567 19.268487
0.034 7.387816e+52 3.5887299999999997e+52 2.928061e+52 8.317 11.577152 3.940711 81.513201 153.512956 19.2508
0.035 7.847531e+52 3.850934e+52 3.134765e+52 8.435126 11.74029 3.977064 83.21237 157.934914 19.495533
0.036 7.618789999999999e+52 4.197289e+52 3.258311e+52 8.458686 11.769529 3.993546 83.710609 159.189714 19.685168
0.037 7.488909999999999e+52 4.3194460000000003e+52 3.305217e+52 8.531958 11.784143 4.00506 85.368396 160.117628 19.819498
0.038 7.071431e+52 4.531054e+52 3.31947e+52 8.432492 11.686431 3.98443 84.180171 157.955408 19.65245
0.039 6.708353999999999e+52 4.626793e+52 3.309399e+52 8.343726 11.563489 3.950642 83.162338 155.398864 19.413756
0.04 6.60367e+52 4.662491e+52 3.266375e+52 8.215801 11.380903 3.875752 81.069746 151.555517 18.833979
0.041 6.608899e+52 4.833716e+52 3.366941e+52 7.984349 11.217773 3.826107 77.172207 147.721078 18.376017
0.042 6.983031000000001e+52 4.871813e+52 3.400449e+52 7.894752 11.129145 3.794601 75.467654 145.71367 18.130851
0.043 6.922051e+52 4.659744e+52 3.2390279999999997e+52 7.83467 10.927805 3.712968 73.888702 140.811118 17.424782
0.044 6.742066000000001e+52 4.613433e+52 3.2081089999999996e+52 7.833468 10.916932 3.703794 73.600759 140.666805 17.358823
0.045 6.842456999999999e+52 4.6369230000000004e+52 3.255856e+52 7.89384 11.006853 3.71223 74.590752 142.937187 17.413477
0.046 6.922212e+52 4.6967869999999996e+52 3.307454e+52 7.883969 11.088769 3.725672 74.397204 144.865489 17.518004
0.047 7.005614e+52 4.6949820000000005e+52 3.344764e+52 7.855847 11.159555 3.74314 73.559659 146.384209 17.638653
0.048 6.877206000000001e+52 4.673685e+52 3.362648e+52 7.881061 11.212509 3.77051 73.76749 147.466228 17.812958
