####### LIGHTCURVES AND MEAN ENERGIES
####### 3 NEUTRINO SPECIES: NU_E, NUBAR_E AND N_X
####### ALL QUANTITIES ARE MEASURED AT 500 KM FROM THE CENTER
#######
####### FROM MODEL L2-0A (BUGLI ET AL. 2020,2021)
####### B0=1e12 G, l=2, r0=1.00e8 cm
####### UNITS: TIME [s], LUMINOSITY [erg/s], ENERGY [MeV]
# TIME	L_NU_E     	L_NU_BAR   	L_NU_X     	E_NU_E     	E_NU_BAR  	E_NU_X      	E2_NU_E    	E2_NU_BAR 	E2_NU_X
0.001 1.5212274e+53 4e+47 2.4e+47 11.202898 6.116329 0.889395 143.41352 49.988089 1.027263
0.002 1.1279959e+53 1.29802e+51 8.771299999999999e+50 11.209318 10.209108 2.763996 144.346293 121.043191 9.140815
0.003 6.0063496e+53 7.037759999999999e+51 1.066563e+52 14.639367 13.795381 4.718548 243.625662 221.01811 28.448555
0.004 6.697524699999999e+53 4.88538e+51 1.021325e+52 14.268471 12.471397 6.266148 229.980959 181.673623 58.048118
0.005 4.1076124e+53 6.30655e+51 7.77232e+51 12.875185 12.135477 6.31904 189.441334 168.5409 60.486015
0.006 3.8795859e+53 7.39313e+51 6.83292e+51 13.034119 11.893081 5.587927 194.043472 162.312981 46.197982
0.007 3.6541538000000004e+53 8.24735e+51 8.14736e+51 12.186976 11.630922 4.900849 170.11679 155.940832 33.06632
0.008 4.0151513e+53 8.9138e+51 1.1070629999999999e+52 12.496604 11.877178 4.809054 177.776609 163.064183 29.890035
0.009 3.7908065999999996e+53 7.59695e+51 1.193221e+52 12.244132 11.680931 4.667382 172.891047 157.904647 27.606066
0.01 3.2765257e+53 5.9019e+51 1.05185e+52 12.248903 11.415682 4.477958 172.576977 151.979646 25.803651
0.011 2.2463754e+53 5.78094e+51 1.0190459999999998e+52 11.207928 11.306542 4.431122 147.8671 148.682768 25.012363
0.012 1.8909347e+53 5.9359099999999996e+51 8.68561e+51 10.71811 10.763087 4.259446 136.581945 135.240693 23.34681
0.013 1.6538205999999998e+53 7.2509e+51 9.01875e+51 9.934367 10.615455 4.072977 116.662619 130.046401 21.192285
0.014 1.1176161e+53 9.239770000000001e+51 1.109631e+52 9.604611 10.643951 4.146875 108.660542 132.161039 21.639798
0.015 1.2403365e+53 1.0347980000000001e+52 1.224371e+52 9.612168 10.749345 4.127431 107.654174 133.951628 21.439548
0.016 9.951957e+52 1.0035009999999999e+52 1.295945e+52 9.414112 10.926809 4.176288 104.738862 137.95397 21.853774
0.017 8.105340999999999e+52 1.10131e+52 1.3966559999999998e+52 10.151391 11.018602 4.203243 117.463173 141.509268 22.124455
0.018 6.18007e+52 1.4174100000000002e+52 1.511007e+52 10.024864 11.167767 4.163631 116.662512 144.572358 22.017086
0.019 6.459579e+52 1.640747e+52 1.596504e+52 10.006172 11.202032 4.124886 116.442537 146.490607 21.857532
0.02 7.426677e+52 1.8825689999999999e+52 1.725298e+52 9.919066 11.24403 4.046271 114.533171 147.327483 20.924728
0.021 6.811755e+52 2.039612e+52 1.797171e+52 9.567733 11.184702 3.998283 107.887438 145.61542 20.473321
0.022 6.983973e+52 2.0609570000000002e+52 1.812341e+52 9.608204 11.133776 3.954617 108.581459 144.039871 20.075231
0.023 5.956579e+52 1.976083e+52 1.72028e+52 9.124794 11.140128 3.889871 98.758697 143.99291 19.394902
0.024 6.115019e+52 1.9268460000000001e+52 1.7236e+52 9.038663 11.194959 3.905309 96.695916 144.438391 19.453085
0.025 5.592249e+52 1.911108e+52 1.733267e+52 8.50965 11.212772 3.873743 86.704825 144.403749 19.155543
0.026 6.143882999999999e+52 1.88891e+52 1.7880609999999998e+52 8.565823 11.366161 3.893255 87.450655 148.285731 19.301426
0.027 6.868532e+52 2.06385e+52 2.006475e+52 8.538059 11.518624 3.911983 86.714714 152.45699 19.333504
0.028 7.490524e+52 2.0397319999999998e+52 2.1348699999999997e+52 8.510548 11.341219 3.946582 85.719592 148.042945 19.587538
0.029 7.877084e+52 2.088302e+52 2.3218230000000002e+52 8.481965 11.151901 3.976897 85.506884 143.013653 19.85747
0.03 8.216632000000001e+52 2.3245809999999999e+52 2.5087009999999997e+52 8.472918 11.067342 3.98901 85.285387 140.365562 19.975196
0.031 8.794459e+52 2.5603579999999997e+52 2.64252e+52 8.541431 11.001816 3.997206 86.739734 138.597407 20.213712
0.032 9.345456000000001e+52 3.029098e+52 2.835395e+52 8.708091 11.218827 4.032693 90.10838 144.449141 20.650895
0.033 9.943132e+52 3.482764e+52 2.960867e+52 8.777056 11.425641 4.053273 90.95163 149.755807 20.902691
0.034 9.741971e+52 3.71883e+52 3.025248e+52 8.811913 11.520342 4.084133 91.410429 152.167076 21.142647
0.035 8.788245999999999e+52 3.652808e+52 2.974004e+52 8.805843 11.443008 4.054875 91.415746 150.21416 20.783975
0.036 7.686253999999999e+52 3.605986e+52 2.91214e+52 8.763939 11.481046 4.011351 90.797159 151.207914 20.303759
0.037 7.015691999999999e+52 3.369445e+52 2.8700640000000003e+52 8.711702 11.663073 4.015273 90.175666 156.336935 20.215026
0.038 6.819766e+52 3.451866e+52 2.832106e+52 8.832198 11.759814 3.977899 92.195639 158.746124 19.800173
0.039 6.777263999999999e+52 3.526068e+52 2.744724e+52 8.782645 11.730585 3.926584 91.353741 157.743972 19.312746
0.04 6.772927e+52 3.67762e+52 2.8061470000000003e+52 8.536 11.60988 3.897527 87.134879 154.611066 19.01992
0.041 6.951854e+52 3.9812850000000003e+52 2.944894e+52 8.232318 11.588471 3.898226 81.392671 154.419633 18.937364
0.042 7.503567e+52 4.3719659999999996e+52 3.114459e+52 8.153562 11.701433 3.938509 79.527401 157.190024 19.210524
0.043 8.003462000000001e+52 4.657795e+52 3.2257030000000003e+52 8.117791 11.711002 3.948147 78.856085 157.316921 19.272383
0.044 8.548841e+52 4.942789999999999e+52 3.3549349999999996e+52 8.084648 11.787985 3.972011 78.554506 159.419554 19.508389
0.045 8.92126e+52 5.018123e+52 3.384585e+52 8.095619 11.836225 3.989778 78.627198 160.595024 19.690995
0.046 8.535622e+52 5.030839e+52 3.361126e+52 8.190671 11.876698 3.980394 79.516871 161.631814 19.593833
0.047 7.687246e+52 4.875851e+52 3.321019e+52 8.224959 11.877612 3.979259 79.95981 161.842015 19.587871
0.048 6.944594000000001e+52 4.721736e+52 3.282998e+52 8.249296 11.872398 3.979695 80.482384 161.84093 19.595623
0.049 6.734313e+52 4.71574e+52 3.2940960000000003e+52 8.30934 11.930991 4.003585 81.509008 163.655697 19.848944
0.05 6.280142e+52 4.732555e+52 3.274919e+52 8.225142 11.912038 3.996679 80.401522 163.312692 19.822081
0.051 6.122219000000001e+52 4.89511e+52 3.332845e+52 8.188814 11.935803 3.996828 80.073427 164.031134 19.832098
0.052 6.374890999999999e+52 5.015331e+52 3.388016e+52 8.28049 11.974944 4.0179 81.695551 165.365124 20.071584
0.053 6.400415e+52 5.107528e+52 3.434176e+52 8.359297 11.981966 4.027102 83.323358 165.631372 20.195
0.054 6.311924e+52 5.156407e+52 3.4407350000000003e+52 8.429306 11.979531 4.014125 84.687198 165.562119 20.106585
0.055 6.083421999999999e+52 5.158474e+52 3.4459240000000003e+52 8.443245 11.97729 4.008911 85.109132 165.579359 20.090169
0.056 5.863542e+52 5.230406999999999e+52 3.4956070000000003e+52 8.378771 11.987358 4.020238 84.33035 165.687482 20.230563
0.057 5.839762e+52 5.253672e+52 3.489882e+52 8.333968 11.997632 4.03333 83.70591 166.05268 20.411205
0.058 5.767893e+52 5.283373e+52 3.483689e+52 8.324225 11.984091 4.036764 83.693134 165.787087 20.466409
0.059 5.878882e+52 5.387163000000001e+52 3.47442e+52 8.298267 12.076013 4.051057 83.268152 168.410985 20.590905
