####### LIGHTCURVES AND MEAN ENERGIES
####### 3 NEUTRINO SPECIES: NU_E, NUBAR_E AND N_X
####### ALL QUANTITIES ARE MEASURED AT 500 KM FROM THE CENTER
#######
####### FROM MODEL L2-0B (BUGLI ET AL. 2020,2021)
####### B0=1e12 G, l=2, r0=1.00e8 cm
####### UNITS: TIME [s], LUMINOSITY [erg/s], ENERGY [MeV]
# TIME	L_NU_E     	L_NU_BAR   	L_NU_X     	E_NU_E     	E_NU_BAR  	E_NU_X      	E2_NU_E    	E2_NU_BAR 	E2_NU_X
0.001 1.2500489e+53 3.3000000000000003e+47 2.2e+47 11.042724 5.974809 0.866013 140.21298 47.603272 0.938243
0.002 8.839847e+52 5.3703e+50 2.7556e+50 11.249337 8.869248 2.072816 145.870421 91.851423 4.898369
0.003 3.8907346e+53 5.1529999999999994e+51 7.40796e+51 14.112619 14.126006 4.496162 228.869635 231.148639 24.432314
0.004 4.3690271000000005e+53 3.28763e+51 8.48299e+51 13.960487 12.527335 6.852583 226.453177 190.287685 67.929498
0.005 2.997827e+53 4.76018e+51 6.50899e+51 12.434411 11.91219 6.905605 179.427037 164.831255 73.605195
0.006 2.9663478999999997e+53 6.068550000000001e+51 5.65326e+51 12.502525 11.953853 5.984174 179.635726 165.318975 54.948015
0.007 2.503958e+53 7.115129999999999e+51 6.53762e+51 12.056204 11.876697 5.133088 167.708246 163.279649 37.76339
0.008 2.7152427e+53 7.05263e+51 8.50879e+51 12.242797 11.841744 4.855759 172.008783 162.952639 31.411223
0.009 2.3366019e+53 6.21754e+51 9.67704e+51 11.973697 11.745125 4.776729 167.125702 160.913111 29.642148
0.01 2.1506688e+53 5.23653e+51 9.77267e+51 11.64975 11.250504 4.558832 160.209158 148.824794 27.208138
0.011 2.1710756e+53 4.97535e+51 9.50586e+51 11.16905 10.742322 4.292967 146.702958 135.749263 24.150473
0.012 1.7480917000000002e+53 5.3311600000000005e+51 9.59657e+51 10.421832 10.501205 4.191939 128.399353 129.026207 22.542111
0.013 1.5249575e+53 5.955319999999999e+51 9.95257e+51 9.912526 10.196829 4.169629 115.683193 121.584648 22.098709
0.014 1.2854951e+53 7.34927e+51 1.092398e+52 9.395643 10.237982 4.126634 104.041656 122.487101 21.620109
0.015 1.2270831e+53 9.26961e+51 1.260306e+52 9.29268 10.384735 4.107743 101.068785 126.087579 21.356628
0.016 1.2129088e+53 1.104241e+52 1.426191e+52 9.303385 10.50514 4.140306 100.788225 129.316934 21.648932
0.017 1.2390293e+53 1.2962100000000002e+52 1.573763e+52 9.492408 10.660524 4.209781 104.837974 133.40768 22.393769
0.018 1.2186392e+53 1.445025e+52 1.686456e+52 9.625791 10.772356 4.252782 107.560894 136.339214 22.93217
0.019 1.1185508000000001e+53 1.533049e+52 1.752515e+52 9.611565 10.77653 4.260664 107.249032 136.326636 23.123555
