####### LIGHTCURVES AND MEAN ENERGIES
####### 3 NEUTRINO SPECIES: NU_E, NUBAR_E AND N_X
####### ALL QUANTITIES ARE MEASURED AT 500 KM FROM THE CENTER
#######
####### FROM MODEL L2-0B (BUGLI ET AL. 2020,2021)
####### B0=1e12 G, l=2, r0=1.00e8 cm
####### UNITS: TIME [s], LUMINOSITY [erg/s], ENERGY [MeV]
# TIME	L_NU_E     	L_NU_BAR   	L_NU_X     	E_NU_E     	E_NU_BAR  	E_NU_X      	E2_NU_E    	E2_NU_BAR 	E2_NU_X
0.001 1.5641884e+53 4e+47 2.4e+47 11.197225 6.198531 0.884886 143.293861 51.004192 1.012628
0.002 1.1340272e+53 1.0766199999999999e+51 6.6334000000000005e+50 11.340109 9.941341 2.614493 146.966746 115.26222 8.306652
0.003 5.4708369e+53 8.303430000000001e+51 1.159445e+52 14.523826 14.045237 4.70293 241.100903 228.522437 28.138373
0.004 6.6204352e+53 5.3796999999999994e+51 1.1575279999999998e+52 14.333664 12.778874 6.371045 233.176305 191.281977 59.527973
0.005 4.3163747e+53 6.92744e+51 8.43268e+51 12.778706 12.249956 6.38414 186.037755 171.952234 62.406939
0.006 3.7157713999999997e+53 7.91428e+51 7.45502e+51 12.805053 12.114234 5.714634 188.225356 168.336941 48.204482
0.007 3.6124217000000002e+53 8.84884e+51 8.56403e+51 12.168088 12.015692 5.060834 169.151869 165.6021 35.221041
0.008 3.3828055e+53 8.8242e+51 1.057457e+52 12.360858 12.00988 4.865881 175.137166 166.371168 30.748935
0.009 3.1175021e+53 7.38568e+51 1.2020379999999998e+52 12.131843 11.84711 4.80186 169.090062 161.999076 29.196838
0.01 2.8208903e+53 5.8000300000000006e+51 1.06816e+52 12.27623 11.575459 4.618758 174.247385 154.889985 27.507632
0.011 2.1225176000000002e+53 5.03792e+51 1.005498e+52 11.164519 11.02286 4.415582 147.859246 143.6804 25.222745
0.012 1.8613786000000001e+53 5.5635500000000005e+51 9.6272e+51 10.885303 10.728521 4.211344 141.125044 134.338343 22.748512
0.013 1.5501982999999998e+53 6.0348e+51 1.0019890000000001e+52 10.18416 10.494634 4.295059 121.60831 128.498654 23.328331
0.014 1.4911016e+53 7.40474e+51 1.104547e+52 10.069146 10.457275 4.209456 115.978132 127.298929 22.353326
0.015 9.519009e+52 8.61587e+51 1.24083e+52 9.527861 10.476554 4.182835 106.441865 128.913407 22.217477
0.016 9.448911000000001e+52 1.060471e+52 1.370367e+52 9.758373 10.622244 4.155988 107.653594 131.719714 22.024174
0.017 7.276289e+52 1.268973e+52 1.499715e+52 9.756521 10.722033 4.185872 109.826752 133.482982 22.346503
0.018 6.478498e+52 1.414257e+52 1.611213e+52 10.063508 10.78524 4.189788 117.807945 135.296998 22.455362
0.019 6.385233999999999e+52 1.4977720000000001e+52 1.718332e+52 9.810626 10.662676 4.126425 112.698802 131.680233 21.909631
0.02 7.078464e+52 1.553007e+52 1.847447e+52 9.774823 10.534078 4.053892 111.113631 128.788787 21.235528
0.021 7.617883e+52 1.678208e+52 2.0538409999999997e+52 9.540593 10.829003 4.015458 105.877323 135.06459 20.526165
0.022 7.47925e+52 1.83834e+52 2.1630950000000002e+52 9.080612 11.10375 3.97352 95.626985 140.797638 19.936212
0.023 7.514608e+52 1.895084e+52 2.2262559999999997e+52 8.972941 11.197268 3.982594 93.576098 142.919467 19.902246
0.024 6.991339e+52 1.9489209999999998e+52 2.1944520000000001e+52 8.582314 11.290746 3.999433 86.118748 146.219821 20.003584
0.025 6.829324e+52 1.96723e+52 2.180722e+52 8.260284 11.264579 3.99595 80.56384 146.184224 19.981408
0.026 6.746936e+52 1.906148e+52 2.1359080000000001e+52 7.905437 11.195364 3.985757 74.475611 144.768387 20.031716
0.027 7.061113e+52 1.9349769999999998e+52 2.1542849999999997e+52 7.696033 11.162876 3.945339 70.554046 144.504034 19.66393
0.028 7.703772e+52 1.988266e+52 2.2167560000000001e+52 7.651308 11.206275 3.902772 69.768053 146.019483 19.061735
0.029 8.035173e+52 2.026364e+52 2.314976e+52 7.662827 11.355867 3.879948 70.391268 150.18859 18.75426
0.03 8.399979e+52 2.417313e+52 2.418401e+52 7.764195 11.46095 3.834701 72.534788 152.372147 18.410619
0.031 8.794551e+52 2.972134e+52 2.63219e+52 7.941283 11.539276 3.853825 75.639847 153.79593 18.561832
0.032 8.67997e+52 3.371257e+52 2.842384e+52 8.207706 11.572488 3.87096 79.548318 154.109323 18.649926
0.033 8.360322e+52 3.7028620000000003e+52 2.933253e+52 8.260869 11.598801 3.884959 80.353873 154.538944 18.693504
0.034 8.428965e+52 3.974165e+52 3.083122e+52 8.263787 11.564589 3.914351 80.501535 153.782015 18.97542
0.035 8.573727e+52 4.295939e+52 3.24188e+52 8.214077 11.606954 3.969883 79.541526 155.408056 19.509373
0.036 8.865164999999999e+52 4.659847e+52 3.457074e+52 8.330161 11.630192 3.979301 81.349112 156.468468 19.59607
0.037 8.677248000000001e+52 4.809387e+52 3.579945e+52 8.298116 11.687108 3.998802 81.117658 158.14313 19.777064
0.038 8.248843000000001e+52 4.918558e+52 3.6066220000000003e+52 8.304196 11.746838 3.991196 81.404035 159.609563 19.664855
0.039 8.029857e+52 4.907656000000001e+52 3.5274230000000003e+52 8.336226 11.723099 3.95499 81.903585 158.735125 19.377892
0.04 7.687866999999999e+52 4.799959e+52 3.449556e+52 8.268731 11.693714 3.948087 81.03125 158.107698 19.355298
0.041 7.416348e+52 4.6679259999999997e+52 3.3159999999999997e+52 8.182478 11.694951 3.934045 79.951214 158.12903 19.233298
0.042 7.609372e+52 4.534034e+52 3.1439129999999997e+52 8.295528 11.658695 3.901283 81.660539 156.817653 18.98989
0.043 7.545735999999999e+52 4.545427e+52 3.161019e+52 8.247178 11.645683 3.901168 80.964852 156.315915 19.010922
0.044 7.512826e+52 4.6916140000000006e+52 3.216452e+52 8.248338 11.656113 3.884759 81.020324 156.492313 18.814863
0.045 7.818581e+52 4.81441e+52 3.268464e+52 8.38874 11.627241 3.879488 83.295296 155.800856 18.820103
0.046 8.027545e+52 4.758016e+52 3.24313e+52 8.436381 11.599678 3.891831 84.023508 155.382943 18.978826
0.047 8.109045e+52 4.73691e+52 3.2202220000000004e+52 8.460222 11.665993 3.909987 84.349131 157.481853 19.137358
0.048 7.95055e+52 4.640152e+52 3.173038e+52 8.499301 11.702968 3.925883 84.826191 158.643341 19.349605
0.049 7.776050999999999e+52 4.61064e+52 3.198299e+52 8.495479 11.76408 3.947722 84.723176 160.256686 19.579365
0.05 7.487387e+52 4.6550330000000007e+52 3.275194e+52 8.496077 11.856227 3.964804 85.065502 162.560464 19.736172
0.051 7.503165e+52 4.715447e+52 3.355702e+52 8.533487 11.874128 3.966089 85.735085 162.806038 19.741537
0.052 7.213765e+52 4.800807999999999e+52 3.4570150000000003e+52 8.465358 11.911555 3.968765 84.89533 163.598931 19.740705
0.053 6.963824e+52 4.835798e+52 3.543339e+52 8.37549 11.966161 3.984584 83.559934 164.873122 19.860609
