####### LIGHTCURVES AND MEAN ENERGIES
####### 3 NEUTRINO SPECIES: NU_E, NUBAR_E AND N_X
####### ALL QUANTITIES ARE MEASURED AT 500 KM FROM THE CENTER
#######
####### FROM MODEL L2-0B (BUGLI ET AL. 2020,2021)
####### B0=1e12 G, l=2, r0=1.00e8 cm
####### UNITS: TIME [s], LUMINOSITY [erg/s], ENERGY [MeV] 
# TIME	L_NU_E     	L_NU_BAR   	L_NU_X     	E_NU_E     	E_NU_BAR  	E_NU_X      	E2_NU_E    	E2_NU_BAR 	E2_NU_X
0.001 1.5647098e+53 3.9e+47 2.4e+47 11.196633 6.19469 0.884839 143.287566 50.949221 1.012354
0.002 1.1334588e+53 1.0369100000000001e+51 6.276800000000001e+50 11.343808 9.883939 2.594401 147.052917 113.982674 8.181793
0.003 5.4504640999999995e+53 8.22169e+51 1.1483e+52 14.511717 14.015103 4.680596 240.605009 227.621488 27.81813
0.004 6.6825142e+53 5.3766899999999995e+51 1.162747e+52 14.317106 12.763268 6.349464 232.256219 190.713516 59.071686
0.005 4.2728481e+53 6.89595e+51 8.48008e+51 12.772934 12.254657 6.393191 185.977484 171.984872 62.386514
0.006 3.6979763e+53 7.8662e+51 7.45835e+51 12.809466 12.097083 5.707955 188.580796 167.846065 48.114664
0.007 3.6180655e+53 8.8013e+51 8.57323e+51 12.159711 11.971489 5.053393 168.881274 164.453475 35.110954
0.008 3.3747348e+53 8.846239999999999e+51 1.066138e+52 12.278158 11.965057 4.854957 172.899662 165.395038 30.642632
0.009 3.1578803e+53 7.46721e+51 1.20996e+52 12.115975 11.805778 4.789873 168.556355 161.087058 29.079822
0.01 2.9294623e+53 5.97743e+51 1.075649e+52 12.264565 11.563364 4.606273 173.538318 154.650365 27.362195
0.011 2.1055243999999996e+53 5.4638399999999996e+51 1.034975e+52 11.147175 11.077215 4.421182 147.64919 144.591763 25.134285
0.012 2.0633548e+53 5.9695e+51 9.837559999999999e+51 10.899969 10.785477 4.218473 140.959611 135.56654 22.748311
0.013 1.7669792e+53 6.44491e+51 1.021426e+52 10.223952 10.672672 4.253391 121.891974 132.143989 22.853231
0.014 1.5877027999999998e+53 7.70762e+51 1.1364080000000001e+52 10.091413 10.737983 4.222701 116.14741 133.973459 22.392417
0.015 1.0010192e+53 8.57446e+51 1.2301299999999998e+52 9.526461 10.872063 4.213591 106.751379 136.983165 22.406172
0.016 9.936574e+52 9.49537e+51 1.319636e+52 9.689555 10.982704 4.210123 106.615814 140.306276 22.335584
0.017 6.821458e+52 1.07247e+52 1.434412e+52 10.079144 11.066709 4.214027 116.576162 141.654087 22.460763
0.018 5.50829e+52 1.217147e+52 1.51471e+52 9.842297 11.083133 4.172201 114.697786 142.146491 22.392162
