####### LIGHTCURVES AND MEAN ENERGIES
####### 3 NEUTRINO SPECIES: NU_E, NUBAR_E AND N_X
####### ALL QUANTITIES ARE MEASURED AT 500 KM FROM THE CENTER
#######
####### FROM MODEL H (BUGLI ET AL. 2020,2021)
####### B0=0 G, l=-, r0=1.00e8 cm
####### UNITS: TIME [s], LUMINOSITY [erg/s], ENERGY [MeV]
# TIME	L_NU_E     	L_NU_BAR   	L_NU_X     	E_NU_E     	E_NU_BAR  	E_NU_X      	E2_NU_E    	E2_NU_BAR 	E2_NU_X
0.001 1.2937386999999999e+53 3.6e+47 2.3e+47 11.133366 6.021724 0.878681 142.117262 48.513509 0.984419
0.002 9.325376e+52 9.9301e+50 5.6105e+50 11.131566 10.025633 2.508792 143.127193 116.244109 7.625569
0.003 4.608130700000001e+53 5.12715e+51 7.76995e+51 14.380093 14.080863 4.702758 236.867013 230.36313 27.601314
0.004 4.7304355e+53 3.31694e+51 7.99296e+51 13.949284 12.146827 6.667005 224.514691 176.734217 65.495194
0.005 3.2970624000000002e+53 4.98963e+51 6.56461e+51 12.656946 11.733443 6.456055 184.326561 159.488672 64.830629
0.006 3.3163884e+53 6.43524e+51 6.69405e+51 12.885295 11.718359 5.572381 189.625762 159.213915 46.441658
0.007 2.7603579e+53 7.686129999999999e+51 8.75107e+51 12.420731 11.418304 4.796323 177.394967 151.304851 32.038543
0.008 3.1928671000000002e+53 7.56131e+51 1.25909e+52 12.79155 11.294896 4.717705 186.990753 148.933356 29.248065
0.009 2.6727540999999997e+53 7.46532e+51 1.5416780000000002e+52 12.313919 11.341169 4.607655 176.799415 149.983792 27.540296
0.01 2.5284496e+53 7.14971e+51 1.607277e+52 12.073142 11.341797 4.539476 171.62116 150.05889 26.742572
0.011 2.295853e+53 7.00126e+51 1.5169490000000002e+52 11.556009 11.286072 4.512015 157.747069 149.683085 26.395179
0.012 2.093066e+53 6.58415e+51 1.287659e+52 11.281301 10.879353 4.322423 150.787628 139.924536 24.479192
0.013 1.6591757e+53 8.19447e+51 1.365748e+52 10.661958 10.978889 4.212503 134.481389 141.072122 22.836371
0.014 1.5262232e+53 9.823469999999999e+51 1.5346949999999998e+52 10.329462 10.97577 4.250115 125.235734 140.246813 23.039892
0.015 1.6041602e+53 1.214477e+52 1.6536489999999998e+52 10.582569 11.283831 4.373866 130.701483 148.854009 24.456698
0.016 1.7772773999999998e+53 1.389782e+52 1.756999e+52 11.096908 11.316137 4.310526 143.884609 149.859025 23.905156
0.017 1.5880565e+53 1.5243750000000001e+52 1.912426e+52 10.840861 11.351575 4.261869 137.550317 150.999602 23.387419
0.018 1.5092022e+53 1.623632e+52 2.0599789999999997e+52 10.717901 11.387545 4.259153 134.568832 152.160493 23.228695
0.019 1.43751e+53 1.6297e+52 2.172428e+52 10.571671 11.336384 4.279434 131.534341 150.700883 23.349123
0.02 1.3346905e+53 1.648507e+52 2.210819e+52 10.351289 11.297317 4.299599 126.516117 149.287026 23.547374
0.021 1.2448205e+53 1.689546e+52 2.189161e+52 10.201453 11.283023 4.304143 123.480168 148.277882 23.609919
0.022 1.1367139999999998e+53 1.798218e+52 2.161622e+52 9.953087 11.330833 4.293508 118.419375 149.053642 23.534815
0.023 1.0901253e+53 1.9252e+52 2.1335220000000002e+52 9.860236 11.392875 4.278038 115.525053 150.452791 23.384662
0.024 1.0616966e+53 2.092513e+52 2.148472e+52 9.833784 11.488543 4.25614 115.848092 152.949564 23.163403
0.025 1.0442361e+53 2.2821889999999998e+52 2.200957e+52 9.817053 11.606572 4.243989 116.092826 156.013314 23.010517
0.026 1.0495861e+53 2.411845e+52 2.2449849999999997e+52 9.838857 11.658389 4.215043 115.396053 157.641888 22.709818
0.027 1.0411488e+53 2.4943240000000003e+52 2.270861e+52 9.846798 11.716723 4.19324 115.587987 159.562046 22.475603
0.028 9.961674e+52 2.5924179999999996e+52 2.3461150000000002e+52 9.750967 11.741209 4.183604 114.309245 159.928878 22.244877
0.029 9.528056e+52 2.589794e+52 2.3695e+52 9.609728 11.687054 4.161917 111.47606 158.640412 22.01926
0.03 9.251791e+52 2.664353e+52 2.393761e+52 9.509497 11.757515 4.182991 108.63291 160.591366 22.226788
0.031 8.922371e+52 2.664874e+52 2.378208e+52 9.41889 11.691412 4.172735 106.677771 158.545499 22.108638
0.032 8.569568e+52 2.739096e+52 2.375731e+52 9.322077 11.707666 4.16752 104.75764 158.867491 22.06743
0.033 8.23892e+52 2.846762e+52 2.38216e+52 9.2374 11.745448 4.163081 103.747145 159.785018 22.026303
0.034 8.170921e+52 2.976688e+52 2.401882e+52 9.250876 11.791692 4.156538 105.199935 160.99332 21.961572
0.035 8.157226e+52 3.108862e+52 2.439314e+52 9.278034 11.847282 4.148024 104.841334 162.471675 21.863443
0.036 8.102038e+52 3.253423e+52 2.485998e+52 9.305509 11.92337 4.139914 105.062838 164.583972 21.765794
0.037 8.102635e+52 3.417141e+52 2.544874e+52 9.327296 12.01352 4.142095 105.344528 167.117158 21.758024
0.038 8.022413e+52 3.501131e+52 2.580616e+52 9.329866 12.040664 4.13123 105.34311 167.94272 21.624043
0.039 7.853704e+52 3.611507e+52 2.632139e+52 9.264644 12.087407 4.126337 103.437774 169.368673 21.560763
0.04 7.657061e+52 3.697031e+52 2.666853e+52 9.189445 12.116922 4.125969 101.879585 170.208416 21.543717
0.041 7.49829e+52 3.7266159999999997e+52 2.670608e+52 9.11964 12.111296 4.126178 100.41935 170.112229 21.539868
0.042 7.350803e+52 3.755202e+52 2.661962e+52 9.061927 12.104092 4.122279 99.570249 169.907837 21.512942
0.043 7.217163000000001e+52 3.8292320000000003e+52 2.6718069999999997e+52 9.028081 12.127147 4.126993 99.862542 170.429181 21.56132
0.044 7.071554e+52 3.907908e+52 2.665448e+52 8.981426 12.152027 4.122421 98.468133 171.254301 21.535074
0.045 6.982063e+52 3.999991e+52 2.6716199999999997e+52 8.953764 12.155678 4.109209 97.649881 171.365774 21.405699
0.046 6.948396e+52 4.0984290000000005e+52 2.682029e+52 8.955345 12.181896 4.102699 97.744527 172.157918 21.338663
0.047 6.936661e+52 4.1673920000000005e+52 2.693621e+52 8.978984 12.187388 4.091296 98.925037 172.352778 21.221422
0.048 6.882595e+52 4.2731389999999994e+52 2.721682e+52 8.981597 12.217874 4.087508 98.563903 173.200613 21.171444
0.049 6.833394e+52 4.3767250000000005e+52 2.742474e+52 8.979053 12.255171 4.088099 98.327336 174.366561 21.185181
0.05 6.776954e+52 4.437994e+52 2.7521969999999997e+52 8.971675 12.255407 4.079325 98.177543 174.443597 21.094386
0.051 6.684619e+52 4.508035e+52 2.769848e+52 8.951338 12.269422 4.075474 97.609828 174.829164 21.049115
0.052 6.573974e+52 4.596986e+52 2.794687e+52 8.917498 12.304074 4.077815 97.085216 175.812553 21.071877
0.053 6.472336e+52 4.66441e+52 2.802659e+52 8.890621 12.325146 4.077495 96.542898 176.471156 21.072932
0.054 6.380959e+52 4.71007e+52 2.812827e+52 8.86255 12.332861 4.079807 95.819622 176.679265 21.102962
0.055 6.318164e+52 4.771026e+52 2.821346e+52 8.840199 12.354823 4.080081 95.326328 177.329289 21.104012
0.056 6.297409e+52 4.825580000000001e+52 2.831502e+52 8.833407 12.37768 4.079498 95.241419 177.963605 21.097576
0.057 6.282945e+52 4.866865e+52 2.833821e+52 8.839827 12.389339 4.077753 95.404559 178.358249 21.080338
0.058 6.215282e+52 4.926919e+52 2.826997e+52 8.837914 12.415786 4.074403 95.508947 179.239361 21.044958
0.059 6.076056e+52 5.018297e+52 2.841156e+52 8.808581 12.44842 4.07874 94.887214 180.171702 21.081057
0.06 5.953763e+52 5.059069e+52 2.8458869999999996e+52 8.773358 12.456494 4.077424 94.149525 180.422126 21.060052
0.061 5.897936e+52 5.015902999999999e+52 2.851213e+52 8.753616 12.419397 4.06885 93.744967 179.329327 20.967223
0.062 5.878146e+52 4.985486e+52 2.8698649999999997e+52 8.750974 12.403995 4.068553 93.758646 178.848238 20.964092
0.063 5.877488999999999e+52 4.988135e+52 2.870924e+52 8.765981 12.419519 4.075389 94.184488 179.317676 21.039383
0.064 5.874069999999999e+52 5.019496e+52 2.858248e+52 8.779093 12.43162 4.084469 94.518887 179.622022 21.145284
0.065 5.8598e+52 5.082402e+52 2.8399369999999997e+52 8.786531 12.432163 4.0848 94.690763 179.616421 21.168245
0.066 5.855749000000001e+52 5.20214e+52 2.847612e+52 8.81678 12.461472 4.083072 95.369539 180.504417 21.16811
0.067 5.867715999999999e+52 5.382634999999999e+52 2.887788e+52 8.858198 12.526816 4.084325 96.378809 182.449343 21.200262
0.068 5.935389e+52 5.57645e+52 2.926849e+52 8.911032 12.615355 4.090003 97.580087 185.126177 21.267297
0.069 6.028813999999999e+52 5.636567999999999e+52 2.927946e+52 8.957954 12.628635 4.081262 98.824211 185.537414 21.17642
0.07 6.088962999999999e+52 5.601545e+52 2.917753e+52 8.993468 12.598441 4.073128 99.943978 184.636319 21.08729
0.071 6.080875e+52 5.598535e+52 2.92142e+52 8.995089 12.592088 4.069648 99.599306 184.434489 21.047208
0.072 6.059465e+52 5.673931e+52 2.9374859999999995e+52 8.99204 12.634341 4.076043 99.602138 185.693972 21.118066
0.073 6.058264e+52 5.729606e+52 2.935923e+52 8.997554 12.669084 4.083649 99.517729 186.769457 21.199378
0.074 6.033488000000001e+52 5.723024999999999e+52 2.922137e+52 9.004372 12.652137 4.082841 100.096049 186.238806 21.183755
0.075 6.001651e+52 5.754654e+52 2.9273120000000003e+52 9.00493 12.660241 4.085215 99.950514 186.50399 21.207853
0.076 6.012546999999999e+52 5.832917e+52 2.945258e+52 9.016581 12.699225 4.087307 100.111824 187.668756 21.230651
0.077 6.061922e+52 5.884797e+52 2.950964e+52 9.047274 12.730463 4.093117 100.790237 188.617214 21.286337
0.078 6.094108e+52 5.881258e+52 2.936385e+52 9.076903 12.727037 4.092704 101.397798 188.526587 21.283386
0.079 6.100971e+52 5.901336999999999e+52 2.9384929999999996e+52 9.087776 12.722042 4.090148 101.536941 188.33519 21.259974
0.08 6.128020000000001e+52 5.973428e+52 2.95094e+52 9.103951 12.751407 4.09033 101.980737 189.231014 21.267399
0.081 6.184623e+52 6.041049e+52 2.956879e+52 9.143768 12.784271 4.093381 102.923317 190.248856 21.297039
0.082 6.237599e+52 6.095909e+52 2.958903e+52 9.186347 12.807183 4.095953 103.704577 190.957365 21.326315
