####### LIGHTCURVES AND MEAN ENERGIES
####### 3 NEUTRINO SPECIES: NU_E, NUBAR_E AND N_X
####### ALL QUANTITIES ARE MEASURED AT 500 KM FROM THE CENTER
#######
####### FROM MODEL H (BUGLI ET AL. 2020,2021)
####### B0=0 G, l=-, r0=1.00e8 cm
####### UNITS: TIME [s], LUMINOSITY [erg/s], ENERGY [MeV]
# TIME	L_NU_E     	L_NU_BAR   	L_NU_X     	E_NU_E     	E_NU_BAR  	E_NU_X      	E2_NU_E    	E2_NU_BAR 	E2_NU_X
0.001 1.2056836e+53 3.4e+47 2.3e+47 11.070883 5.95298 0.872646 140.855256 47.424852 0.960377
0.002 8.601831e+52 8.2772e+50 4.3613e+50 11.08419 9.801302 2.333338 142.373703 110.747877 6.500914
0.003 4.1310258e+53 4.39778e+51 6.68528e+51 14.242191 14.102781 4.635763 232.853528 231.073251 26.367926
0.004 4.1547679e+53 2.8392899999999998e+51 7.23458e+51 13.857244 12.130539 6.832106 223.266241 177.91513 68.502928
0.005 2.9456326e+53 4.40647e+51 5.94665e+51 12.542303 11.736999 6.66924 181.671747 159.870213 69.250668
0.006 2.9540119e+53 5.66419e+51 5.88678e+51 12.738467 11.755341 5.712058 186.011013 160.299406 49.448726
0.007 2.3515367999999997e+53 6.87836e+51 7.58412e+51 12.317835 11.506629 4.857314 175.049584 153.640176 33.382012
0.008 2.8288234e+53 6.86361e+51 1.099632e+52 12.742651 11.371214 4.75389 186.147021 150.713782 29.958349
0.009 2.173992e+53 6.85965e+51 1.353826e+52 12.073893 11.40076 4.645839 170.886768 151.270579 28.200501
0.01 2.1662566999999997e+53 6.08504e+51 1.4315299999999999e+52 11.882868 11.261602 4.566636 166.423962 147.979145 27.226462
0.011 1.9190255e+53 6.01925e+51 1.368988e+52 11.434912 11.296283 4.55248 155.129859 150.724815 27.018387
0.012 1.8810383999999999e+53 6.01753e+51 1.203488e+52 11.142332 10.859325 4.350492 147.385421 139.840356 24.902141
0.013 1.8617615e+53 8.794079999999999e+51 1.370188e+52 10.566126 10.99974 4.194534 131.117275 141.042317 22.606048
0.014 1.8953033e+53 1.093671e+52 1.607929e+52 10.379742 10.913737 4.204626 125.62385 137.960822 22.428547
0.015 2.1035514e+53 1.333287e+52 1.777617e+52 10.657278 11.121795 4.337409 131.246452 143.675053 23.89703
0.016 2.2410977e+53 1.453539e+52 1.831233e+52 11.336357 11.251952 4.309152 148.277253 147.765283 23.74514
0.017 1.7198973999999999e+53 1.485764e+52 1.898214e+52 11.015698 11.228534 4.289422 140.983448 147.834246 23.587587
0.018 1.4190482e+53 1.4664569999999998e+52 1.94601e+52 10.652903 11.208799 4.290005 132.842733 147.676489 23.562026
0.019 1.2232446e+53 1.426761e+52 1.99705e+52 10.512684 11.127616 4.304411 130.321632 145.528037 23.678473
0.02 1.1597489e+53 1.4435269999999999e+52 2.010421e+52 10.144887 11.039645 4.28487 121.991265 142.984019 23.5284
0.021 1.030937e+53 1.563141e+52 2.029589e+52 9.962486 11.13363 4.282556 118.399317 144.451041 23.499062
0.022 9.715386e+52 1.732596e+52 2.034621e+52 9.671215 11.265006 4.276905 112.566378 147.255229 23.432454
0.023 1.0077464e+53 1.9228689999999998e+52 2.074262e+52 9.744687 11.391543 4.284019 113.224339 150.28767 23.459562
0.024 1.0699573e+53 2.1814429999999998e+52 2.145721e+52 9.810945 11.530032 4.273727 114.998681 154.034058 23.339519
0.025 1.167102e+53 2.4286270000000003e+52 2.25988e+52 9.862542 11.666368 4.250011 115.706123 157.390992 22.988919
0.026 1.1294958e+53 2.5075690000000004e+52 2.2817739999999998e+52 9.919147 11.680378 4.237708 116.432653 158.092462 22.892152
0.027 1.0506098e+53 2.548607e+52 2.2796599999999997e+52 9.892029 11.726753 4.22007 116.063499 159.745109 22.723353
0.028 1.0204853999999999e+53 2.594634e+52 2.310984e+52 9.858626 11.706559 4.203237 115.391568 158.756326 22.432099
0.029 9.223527e+52 2.419199e+52 2.2551459999999998e+52 9.601261 11.587447 4.17 110.193814 155.690129 22.113972
0.03 8.10537e+52 2.371233e+52 2.203868e+52 9.328432 11.709416 4.214785 104.460268 159.126469 22.581013
0.031 7.448286999999999e+52 2.274888e+52 2.110977e+52 9.143881 11.539382 4.167269 100.679579 154.444205 22.144112
0.032 7.125125e+52 2.3917380000000002e+52 2.10835e+52 9.018143 11.554592 4.138635 98.330206 154.665335 21.837654
0.033 7.162561e+52 2.540429e+52 2.1435719999999998e+52 8.983745 11.594446 4.143561 97.763206 155.901909 21.895547
0.034 7.480989e+52 2.737829e+52 2.2267519999999997e+52 9.106975 11.654052 4.138746 100.071294 157.387741 21.794909
0.035 7.933143e+52 3.016575e+52 2.374795e+52 9.171476 11.811163 4.152799 101.317411 161.603113 21.877032
0.036 8.309219e+52 3.220794e+52 2.477571e+52 9.256191 11.82545 4.13334 103.467808 162.204234 21.644461
0.037 8.977254e+52 3.523859e+52 2.598169e+52 9.445548 11.994459 4.142602 109.133445 166.790726 21.711331
0.038 8.345814999999999e+52 3.600956e+52 2.653474e+52 9.381473 12.072525 4.141009 106.593103 168.770501 21.640464
0.039 8.068341e+52 3.601841e+52 2.633267e+52 9.326959 12.111087 4.148809 104.472586 170.123379 21.748966
0.04 7.52412e+52 3.612832e+52 2.5924779999999997e+52 9.209004 12.091163 4.132124 101.931603 169.388994 21.59577
