####### LIGHTCURVES AND MEAN ENERGIES
####### 3 NEUTRINO SPECIES: NU_E, NUBAR_E AND N_X
####### ALL QUANTITIES ARE MEASURED AT 500 KM FROM THE CENTER
#######
####### FROM MODEL H (BUGLI ET AL. 2020,2021)
####### B0=0 G, l=-, r0=1.00e8 cm
####### UNITS: TIME [s], LUMINOSITY [erg/s], ENERGY [MeV]
# TIME	L_NU_E     	L_NU_BAR   	L_NU_X     	E_NU_E     	E_NU_BAR  	E_NU_X      	E2_NU_E    	E2_NU_BAR 	E2_NU_X
0.001 1.4894629e+53 4e+47 2.4e+47 11.226553 6.141751 0.89365 143.895894 50.378088 1.041974
0.002 1.0965143e+53 1.3813600000000001e+51 8.996600000000001e+50 11.214909 10.411577 2.799048 144.379862 125.776052 9.398386
0.003 5.7310468e+53 6.94867e+51 1.032424e+52 14.623019 13.850933 4.768111 243.736707 222.866156 29.173786
0.004 6.1967472e+53 4.567e+51 9.88793e+51 14.120698 12.356115 6.275582 226.525346 178.577516 58.504314
0.005 4.0539554e+53 6.23788e+51 8.08759e+51 12.961875 11.96241 6.131835 191.460871 164.584913 57.412159
0.006 4.330816e+53 8.24017e+51 8.57454e+51 13.038557 11.753529 5.317623 192.246661 159.413504 41.027703
0.007 3.5971294e+53 9.74843e+51 1.1722109999999999e+52 12.569345 11.241501 4.646244 180.897403 146.60469 29.077343
0.008 4.2547848000000005e+53 9.14707e+51 1.704868e+52 13.035323 10.866004 4.530477 192.838314 139.437146 26.673934
0.009 3.4753627e+53 8.63112e+51 2.059155e+52 12.587604 11.060384 4.491932 184.456555 143.144285 25.96555
0.01 3.5624412e+53 9.83647e+51 1.997489e+52 13.037755 12.06783 4.471985 198.148415 167.41767 25.617317
0.011 2.866171e+53 6.9874e+51 1.735061e+52 12.152536 12.153487 4.628687 170.579441 168.616857 27.183863
0.012 2.2785792000000002e+53 6.66887e+51 1.384121e+52 11.688341 11.192731 4.393442 158.545369 149.564511 25.076909
0.013 1.5225983e+53 7.94674e+51 1.537537e+52 10.214035 10.588868 4.152643 125.319814 132.975089 22.40003
0.014 1.3041968e+53 1.08707e+52 1.701359e+52 9.721284 10.877614 4.138061 112.649619 139.044194 22.137555
0.015 1.3722354e+53 1.30667e+52 1.59695e+52 9.959661 10.90181 4.073783 118.017591 139.703822 21.789092
0.016 1.4305113e+53 1.736788e+52 1.830246e+52 10.200743 11.090745 4.112971 123.699025 144.167893 22.117409
0.017 1.5612327e+53 1.8617699999999998e+52 2.024992e+52 10.418098 11.097809 4.097794 128.146984 144.705858 21.966114
0.018 1.4607815e+53 2.1122350000000002e+52 2.3030279999999998e+52 10.39389 11.094661 4.143265 128.220918 145.736608 22.15407
0.019 1.8885562e+53 2.292602e+52 2.564762e+52 10.476842 11.311351 4.163792 128.544807 150.421164 22.140353
0.02 1.8123238e+53 2.30585e+52 2.783979e+52 10.354956 11.271217 4.249378 125.503235 149.362905 22.914185
0.021 1.4126055e+53 2.0330339999999997e+52 2.58447e+52 10.771445 11.169403 4.252437 136.978747 146.723537 23.079149
