# 1:time 2:Lum 3:eave 4:erms 5:eskw
0.0100 1.04045e-22 1.46908e+01 1.77979e+01 2.16780e+01
0.0110 1.03323e-22 1.44246e+01 1.73212e+01 2.08897e+01
0.0120 9.30362e-23 1.38270e+01 1.61992e+01 1.90061e+01
0.0130 1.00057e-22 1.39885e+01 1.63467e+01 1.90267e+01
0.0140 1.02850e-22 1.40546e+01 1.63876e+01 1.89919e+01
0.0150 1.04900e-22 1.40664e+01 1.63555e+01 1.89119e+01
0.0160 1.05946e-22 1.40377e+01 1.63399e+01 1.88945e+01
0.0170 1.07365e-22 1.40723e+01 1.63073e+01 1.87605e+01
0.0180 1.06377e-22 1.39861e+01 1.62002e+01 1.86185e+01
0.0190 1.08697e-22 1.41125e+01 1.63373e+01 1.87375e+01
0.0200 1.10086e-22 1.41286e+01 1.63364e+01 1.87074e+01
0.0210 1.09937e-22 1.40211e+01 1.62178e+01 1.85811e+01
0.0220 1.10779e-22 1.40544e+01 1.62469e+01 1.86029e+01
0.0230 1.09928e-22 1.40108e+01 1.61629e+01 1.84621e+01
0.0240 1.10771e-22 1.40683e+01 1.62518e+01 1.85690e+01
0.0250 1.10883e-22 1.40336e+01 1.61740e+01 1.84334e+01
0.0260 1.10793e-22 1.39919e+01 1.60926e+01 1.82916e+01
0.0270 1.11291e-22 1.40349e+01 1.61613e+01 1.83880e+01
0.0280 1.10725e-22 1.40071e+01 1.61060e+01 1.82972e+01
0.0290 1.10739e-22 1.39899e+01 1.60754e+01 1.82488e+01
0.0300 1.11098e-22 1.40030e+01 1.60739e+01 1.82165e+01
0.0310 1.11948e-22 1.40712e+01 1.61803e+01 1.83641e+01
0.0320 1.11202e-22 1.40238e+01 1.61061e+01 1.82603e+01
0.0330 1.10149e-22 1.40359e+01 1.61149e+01 1.82557e+01
0.0340 1.10955e-22 1.40289e+01 1.60804e+01 1.81888e+01
0.0350 1.11365e-22 1.40391e+01 1.60999e+01 1.82198e+01
0.0360 1.11407e-22 1.40450e+01 1.61028e+01 1.82172e+01
0.0370 1.11408e-22 1.40538e+01 1.61142e+01 1.82310e+01
0.0380 1.11359e-22 1.40602e+01 1.61225e+01 1.82401e+01
0.0390 1.11283e-22 1.40602e+01 1.61183e+01 1.82290e+01
0.0400 1.11163e-22 1.40593e+01 1.61133e+01 1.82176e+01
0.0410 1.11242e-22 1.40852e+01 1.61541e+01 1.82765e+01
0.0420 1.11248e-22 1.40899e+01 1.61513e+01 1.82615e+01
0.0430 1.11472e-22 1.41203e+01 1.61990e+01 1.83299e+01
0.0440 1.11379e-22 1.41178e+01 1.61842e+01 1.82981e+01
0.0450 1.11351e-22 1.41245e+01 1.61907e+01 1.83046e+01
0.0460 1.11045e-22 1.41291e+01 1.61975e+01 1.83122e+01
0.0470 1.10732e-22 1.41416e+01 1.62296e+01 1.83695e+01
0.0480 1.10313e-22 1.41235e+01 1.61978e+01 1.83182e+01
0.0490 1.09943e-22 1.41062e+01 1.61734e+01 1.82863e+01
0.0500 1.09892e-22 1.41325e+01 1.62210e+01 1.83591e+01
0.0510 1.09338e-22 1.41029e+01 1.61700e+01 1.82801e+01
0.0520 1.09957e-22 1.41395e+01 1.62163e+01 1.83380e+01
0.0530 1.08864e-22 1.40919e+01 1.61560e+01 1.82618e+01
0.0540 1.09205e-22 1.41176e+01 1.61943e+01 1.83135e+01
0.0550 1.08692e-22 1.40755e+01 1.61283e+01 1.82171e+01
0.0560 1.09185e-22 1.41228e+01 1.62065e+01 1.83336e+01
0.0570 1.09692e-22 1.41343e+01 1.62116e+01 1.83302e+01
0.0580 1.09199e-22 1.41035e+01 1.61633e+01 1.82590e+01
0.0590 1.09569e-22 1.41306e+01 1.62023e+01 1.83115e+01
0.0600 1.10032e-22 1.41712e+01 1.62618e+01 1.83938e+01
0.0610 1.10170e-22 1.41790e+01 1.62720e+01 1.84064e+01
0.0620 1.10156e-22 1.41830e+01 1.62738e+01 1.84052e+01
0.0630 1.10087e-22 1.41801e+01 1.62665e+01 1.83908e+01
0.0640 1.10394e-22 1.42097e+01 1.63077e+01 1.84456e+01
0.0650 1.10168e-22 1.42004e+01 1.62918e+01 1.84214e+01
0.0660 1.10205e-22 1.42194e+01 1.63183e+01 1.84562e+01
0.0670 1.10108e-22 1.42177e+01 1.63120e+01 1.84432e+01
0.0680 1.10193e-22 1.42306e+01 1.63320e+01 1.84717e+01
0.0690 1.10378e-22 1.42608e+01 1.63766e+01 1.85322e+01
0.0700 1.09913e-22 1.42444e+01 1.63528e+01 1.84986e+01
0.0710 1.09926e-22 1.42525e+01 1.63640e+01 1.85131e+01
0.0720 1.09901e-22 1.42657e+01 1.63843e+01 1.85419e+01
0.0730 1.09919e-22 1.42735e+01 1.63952e+01 1.85559e+01
0.0740 1.09852e-22 1.42825e+01 1.64088e+01 1.85745e+01
0.0750 1.09724e-22 1.42854e+01 1.64130e+01 1.85792e+01
0.0760 1.09797e-22 1.43014e+01 1.64365e+01 1.86113e+01
0.0770 1.09582e-22 1.42980e+01 1.64322e+01 1.86052e+01
0.0780 1.09585e-22 1.43118e+01 1.64516e+01 1.86307e+01
0.0790 1.09412e-22 1.43079e+01 1.64452e+01 1.86204e+01
0.0800 1.09381e-22 1.43147e+01 1.64553e+01 1.86339e+01
0.0810 1.09347e-22 1.43265e+01 1.64746e+01 1.86613e+01
0.0820 1.09162e-22 1.43266e+01 1.64750e+01 1.86615e+01
0.0830 1.09121e-22 1.43357e+01 1.64893e+01 1.86813e+01
0.0840 1.09201e-22 1.43537e+01 1.65144e+01 1.87143e+01
0.0850 1.08962e-22 1.43473e+01 1.65075e+01 1.87066e+01
0.0860 1.08841e-22 1.43511e+01 1.65126e+01 1.87129e+01
0.0870 1.08686e-22 1.43548e+01 1.65180e+01 1.87200e+01
0.0880 1.08585e-22 1.43650e+01 1.65345e+01 1.87435e+01
0.0890 1.08581e-22 1.43699e+01 1.65410e+01 1.87514e+01
0.0900 1.08392e-22 1.43734e+01 1.65466e+01 1.87591e+01
0.0910 1.08161e-22 1.43725e+01 1.65455e+01 1.87572e+01
0.0920 1.08222e-22 1.43815e+01 1.65569e+01 1.87703e+01
0.0930 1.08089e-22 1.43834e+01 1.65602e+01 1.87749e+01
0.0940 1.07988e-22 1.43952e+01 1.65805e+01 1.88054e+01
0.0950 1.07830e-22 1.43973e+01 1.65838e+01 1.88091e+01
0.0960 1.07779e-22 1.44074e+01 1.65985e+01 1.88281e+01
0.0970 1.07769e-22 1.44214e+01 1.66214e+01 1.88615e+01
0.0980 1.07609e-22 1.44231e+01 1.66235e+01 1.88636e+01
0.0990 1.07386e-22 1.44237e+01 1.66246e+01 1.88644e+01
0.1000 1.07246e-22 1.44318e+01 1.66379e+01 1.88830e+01
0.1010 1.07199e-22 1.44401e+01 1.66513e+01 1.89018e+01
0.1020 1.07092e-22 1.44462e+01 1.66611e+01 1.89152e+01
0.1030 1.06846e-22 1.44483e+01 1.66661e+01 1.89228e+01
0.1040 1.06727e-22 1.44532e+01 1.66739e+01 1.89328e+01
0.1050 1.06720e-22 1.44661e+01 1.66937e+01 1.89597e+01
0.1060 1.06659e-22 1.44758e+01 1.67093e+01 1.89819e+01
0.1070 1.06439e-22 1.44772e+01 1.67132e+01 1.89881e+01
0.1080 1.06273e-22 1.44820e+01 1.67211e+01 1.89988e+01
0.1090 1.06162e-22 1.44915e+01 1.67367e+01 1.90209e+01
0.1100 1.06021e-22 1.44972e+01 1.67464e+01 1.90345e+01
0.1110 1.05835e-22 1.44999e+01 1.67506e+01 1.90397e+01
0.1120 1.05633e-22 1.45018e+01 1.67536e+01 1.90430e+01
0.1130 1.05515e-22 1.45078e+01 1.67626e+01 1.90546e+01
0.1140 1.05371e-22 1.45139e+01 1.67714e+01 1.90656e+01
0.1150 1.05210e-22 1.45194e+01 1.67800e+01 1.90774e+01
0.1160 1.05011e-22 1.45230e+01 1.67863e+01 1.90860e+01
0.1170 1.04857e-22 1.45266e+01 1.67914e+01 1.90922e+01
0.1180 1.04697e-22 1.45323e+01 1.67987e+01 1.91004e+01
0.1190 1.04490e-22 1.45329e+01 1.67994e+01 1.91004e+01
0.1200 1.04253e-22 1.45339e+01 1.67995e+01 1.90989e+01
0.1210 1.04037e-22 1.45349e+01 1.67998e+01 1.90976e+01
0.1220 1.03786e-22 1.45315e+01 1.67948e+01 1.90906e+01
0.1230 1.03536e-22 1.45302e+01 1.67912e+01 1.90840e+01
0.1240 1.03254e-22 1.45267e+01 1.67838e+01 1.90715e+01
0.1250 1.02880e-22 1.45181e+01 1.67687e+01 1.90486e+01
0.1260 1.02569e-22 1.45073e+01 1.67498e+01 1.90201e+01
0.1270 1.02149e-22 1.44922e+01 1.67255e+01 1.89850e+01
0.1280 1.01707e-22 1.44757e+01 1.66989e+01 1.89465e+01
0.1290 1.01279e-22 1.44599e+01 1.66729e+01 1.89084e+01
0.1300 1.00888e-22 1.44426e+01 1.66442e+01 1.88665e+01
0.1310 1.00483e-22 1.44290e+01 1.66205e+01 1.88303e+01
0.1320 9.99822e-23 1.44070e+01 1.65874e+01 1.87843e+01
0.1330 9.95649e-23 1.43916e+01 1.65617e+01 1.87462e+01
0.1340 9.91509e-23 1.43780e+01 1.65397e+01 1.87141e+01
0.1350 9.87930e-23 1.43655e+01 1.65195e+01 1.86846e+01
0.1360 9.84146e-23 1.43549e+01 1.65027e+01 1.86602e+01
0.1370 9.80946e-23 1.43468e+01 1.64904e+01 1.86428e+01
0.1380 9.77675e-23 1.43421e+01 1.64835e+01 1.86330e+01
0.1390 9.74566e-23 1.43374e+01 1.64774e+01 1.86248e+01
0.1400 9.71800e-23 1.43370e+01 1.64777e+01 1.86256e+01
0.1410 9.69097e-23 1.43368e+01 1.64787e+01 1.86276e+01
0.1420 9.66393e-23 1.43387e+01 1.64835e+01 1.86351e+01
0.1430 9.64198e-23 1.43441e+01 1.64937e+01 1.86506e+01
0.1440 9.62205e-23 1.43496e+01 1.65043e+01 1.86668e+01
0.1450 9.60147e-23 1.43578e+01 1.65186e+01 1.86874e+01
0.1460 9.58249e-23 1.43673e+01 1.65355e+01 1.87124e+01
0.1470 9.56713e-23 1.43777e+01 1.65544e+01 1.87407e+01
0.1480 9.55038e-23 1.43896e+01 1.65748e+01 1.87702e+01
0.1490 9.53367e-23 1.43986e+01 1.65911e+01 1.87943e+01
0.1500 9.51405e-23 1.44060e+01 1.66057e+01 1.88164e+01
0.1510 9.49705e-23 1.44144e+01 1.66211e+01 1.88391e+01
0.1520 9.47390e-23 1.44186e+01 1.66302e+01 1.88536e+01
0.1530 9.45260e-23 1.44219e+01 1.66378e+01 1.88656e+01
0.1540 9.42909e-23 1.44234e+01 1.66409e+01 1.88698e+01
0.1550 9.39927e-23 1.44170e+01 1.66331e+01 1.88600e+01
0.1560 9.36939e-23 1.44146e+01 1.66296e+01 1.88546e+01
0.1570 9.34891e-23 1.44113e+01 1.66232e+01 1.88442e+01
0.1580 9.31488e-23 1.44003e+01 1.66067e+01 1.88212e+01
0.1590 9.27918e-23 1.43916e+01 1.65940e+01 1.88031e+01
0.1600 9.25894e-23 1.43862e+01 1.65850e+01 1.87896e+01
0.1610 9.22593e-23 1.43771e+01 1.65713e+01 1.87700e+01
0.1620 9.20149e-23 1.43714e+01 1.65627e+01 1.87576e+01
0.1630 9.17117e-23 1.43634e+01 1.65508e+01 1.87411e+01
0.1640 9.14741e-23 1.43643e+01 1.65510e+01 1.87400e+01
0.1650 9.12519e-23 1.43622e+01 1.65476e+01 1.87348e+01
0.1660 9.10148e-23 1.43606e+01 1.65454e+01 1.87314e+01
0.1670 9.08092e-23 1.43608e+01 1.65452e+01 1.87300e+01
0.1680 9.06298e-23 1.43618e+01 1.65453e+01 1.87286e+01
0.1690 9.04021e-23 1.43595e+01 1.65437e+01 1.87275e+01
0.1700 9.01941e-23 1.43631e+01 1.65494e+01 1.87353e+01
0.1710 9.00781e-23 1.43688e+01 1.65611e+01 1.87531e+01
0.1720 8.98912e-23 1.43729e+01 1.65678e+01 1.87629e+01
0.1730 8.96745e-23 1.43813e+01 1.65846e+01 1.87887e+01
0.1740 8.96021e-23 1.43894e+01 1.65985e+01 1.88104e+01
0.1750 8.93927e-23 1.43940e+01 1.66073e+01 1.88235e+01
0.1760 8.92611e-23 1.44020e+01 1.66206e+01 1.88425e+01
0.1770 8.91299e-23 1.44054e+01 1.66258e+01 1.88495e+01
