# 1:time 2:Lum 3:eave 4:erms 5:eskw
0.0100 2.01166e-22 1.19441e+01 1.33421e+01 1.47753e+01
0.0110 1.67106e-22 1.15797e+01 1.28974e+01 1.42131e+01
0.0120 1.40869e-22 1.11001e+01 1.23228e+01 1.35566e+01
0.0130 1.31068e-22 1.10444e+01 1.22861e+01 1.35308e+01
0.0140 1.17862e-22 1.07268e+01 1.19963e+01 1.32880e+01
0.0150 1.09048e-22 1.05573e+01 1.18579e+01 1.31893e+01
0.0160 1.00039e-22 1.03715e+01 1.16566e+01 1.29747e+01
0.0170 9.23385e-23 1.01576e+01 1.14228e+01 1.27198e+01
0.0180 8.66723e-23 9.95663e+00 1.11580e+01 1.23822e+01
0.0190 8.22208e-23 9.83675e+00 1.10210e+01 1.22273e+01
0.0200 7.66308e-23 9.67507e+00 1.08317e+01 1.20085e+01
0.0210 7.39839e-23 9.56509e+00 1.06887e+01 1.18218e+01
0.0220 7.23206e-23 9.45594e+00 1.05617e+01 1.16743e+01
0.0230 7.08965e-23 9.34066e+00 1.04408e+01 1.15555e+01
0.0240 6.91538e-23 9.25123e+00 1.03588e+01 1.14993e+01
0.0250 6.62446e-23 9.12388e+00 1.02190e+01 1.13627e+01
0.0260 6.47939e-23 9.13641e+00 1.02707e+01 1.14838e+01
0.0270 6.33259e-23 9.11107e+00 1.02456e+01 1.14633e+01
0.0280 6.21092e-23 9.11412e+00 1.02547e+01 1.14788e+01
0.0290 6.05427e-23 9.09684e+00 1.02388e+01 1.14642e+01
0.0300 5.89637e-23 9.06880e+00 1.02098e+01 1.14343e+01
0.0310 5.75384e-23 9.03516e+00 1.01724e+01 1.13926e+01
0.0320 5.61434e-23 8.98740e+00 1.01104e+01 1.13120e+01
0.0330 5.50878e-23 8.95709e+00 1.00712e+01 1.12612e+01
0.0340 5.42146e-23 8.93779e+00 1.00456e+01 1.12269e+01
0.0350 5.37213e-23 8.93465e+00 1.00388e+01 1.12141e+01
0.0360 5.34701e-23 8.94084e+00 1.00459e+01 1.12213e+01
0.0370 5.33476e-23 8.94476e+00 1.00477e+01 1.12194e+01
0.0380 5.33536e-23 8.96587e+00 1.00782e+01 1.12611e+01
0.0390 5.30645e-23 8.96546e+00 1.00832e+01 1.12734e+01
0.0400 5.28154e-23 8.97042e+00 1.00862e+01 1.12723e+01
0.0410 5.25610e-23 8.98363e+00 1.01045e+01 1.12965e+01
0.0420 5.22887e-23 8.99258e+00 1.01168e+01 1.13125e+01
0.0430 5.19783e-23 8.99268e+00 1.01183e+01 1.13162e+01
0.0440 5.17437e-23 8.99135e+00 1.01172e+01 1.13155e+01
0.0450 5.16084e-23 8.99057e+00 1.01154e+01 1.13119e+01
0.0460 5.15453e-23 8.99765e+00 1.01235e+01 1.13201e+01
0.0470 5.15019e-23 9.01238e+00 1.01411e+01 1.13398e+01
0.0480 5.15108e-23 9.02748e+00 1.01575e+01 1.13557e+01
0.0490 5.15924e-23 9.04933e+00 1.01841e+01 1.13870e+01
0.0500 5.16292e-23 9.06209e+00 1.02000e+01 1.14056e+01
0.0510 5.16427e-23 9.07661e+00 1.02221e+01 1.14372e+01
0.0520 5.15804e-23 9.08649e+00 1.02385e+01 1.14617e+01
0.0530 5.15041e-23 9.09676e+00 1.02563e+01 1.14892e+01
0.0540 5.14799e-23 9.11138e+00 1.02762e+01 1.15152e+01
0.0550 5.15141e-23 9.12915e+00 1.02988e+01 1.15427e+01
0.0560 5.15739e-23 9.14524e+00 1.03162e+01 1.15604e+01
0.0570 5.16928e-23 9.16837e+00 1.03448e+01 1.15948e+01
0.0580 5.18256e-23 9.18757e+00 1.03695e+01 1.16248e+01
0.0590 5.19689e-23 9.21147e+00 1.04007e+01 1.16642e+01
0.0600 5.20327e-23 9.23124e+00 1.04265e+01 1.16970e+01
0.0610 5.20760e-23 9.25338e+00 1.04568e+01 1.17365e+01
0.0620 5.20719e-23 9.27178e+00 1.04812e+01 1.17674e+01
0.0630 5.21444e-23 9.29406e+00 1.05104e+01 1.18037e+01
0.0640 5.21431e-23 9.31267e+00 1.05321e+01 1.18283e+01
0.0650 5.21481e-23 9.32548e+00 1.05471e+01 1.18448e+01
0.0660 5.21669e-23 9.34433e+00 1.05699e+01 1.18717e+01
0.0670 5.22162e-23 9.36249e+00 1.05920e+01 1.18979e+01
0.0680 5.22980e-23 9.38083e+00 1.06137e+01 1.19223e+01
0.0690 5.24040e-23 9.40412e+00 1.06430e+01 1.19577e+01
0.0700 5.24958e-23 9.42811e+00 1.06737e+01 1.19954e+01
0.0710 5.26790e-23 9.45656e+00 1.07097e+01 1.20393e+01
0.0720 5.29449e-23 9.48706e+00 1.07489e+01 1.20876e+01
0.0730 5.31787e-23 9.51650e+00 1.07858e+01 1.21321e+01
0.0740 5.33332e-23 9.53878e+00 1.08129e+01 1.21635e+01
0.0750 5.34864e-23 9.56286e+00 1.08433e+01 1.22000e+01
0.0760 5.36235e-23 9.58842e+00 1.08752e+01 1.22382e+01
0.0770 5.36918e-23 9.60944e+00 1.09026e+01 1.22719e+01
0.0780 5.36729e-23 9.62887e+00 1.09259e+01 1.22987e+01
0.0790 5.36160e-23 9.64827e+00 1.09498e+01 1.23267e+01
0.0800 5.35689e-23 9.66792e+00 1.09746e+01 1.23567e+01
0.0810 5.35457e-23 9.68747e+00 1.09978e+01 1.23833e+01
0.0820 5.35483e-23 9.70375e+00 1.10180e+01 1.24068e+01
0.0830 5.35854e-23 9.72227e+00 1.10394e+01 1.24302e+01
0.0840 5.36829e-23 9.74527e+00 1.10681e+01 1.24639e+01
0.0850 5.38367e-23 9.77232e+00 1.11014e+01 1.25027e+01
0.0860 5.40069e-23 9.80294e+00 1.11390e+01 1.25467e+01
0.0870 5.41420e-23 9.82842e+00 1.11713e+01 1.25853e+01
0.0880 5.41834e-23 9.84937e+00 1.11971e+01 1.26154e+01
0.0890 5.41550e-23 9.86613e+00 1.12178e+01 1.26394e+01
0.0900 5.41157e-23 9.88814e+00 1.12466e+01 1.26753e+01
0.0910 5.40371e-23 9.90626e+00 1.12701e+01 1.27039e+01
0.0920 5.39519e-23 9.92414e+00 1.12926e+01 1.27307e+01
0.0930 5.38419e-23 9.93946e+00 1.13107e+01 1.27510e+01
0.0940 5.37460e-23 9.95446e+00 1.13282e+01 1.27704e+01
0.0950 5.37140e-23 9.97226e+00 1.13504e+01 1.27964e+01
0.0960 5.37199e-23 9.99331e+00 1.13756e+01 1.28251e+01
0.0970 5.37602e-23 1.00154e+01 1.14026e+01 1.28561e+01
0.0980 5.38091e-23 1.00406e+01 1.14323e+01 1.28895e+01
0.0990 5.38895e-23 1.00660e+01 1.14624e+01 1.29237e+01
0.1000 5.39508e-23 1.00909e+01 1.14927e+01 1.29587e+01
0.1010 5.39724e-23 1.01120e+01 1.15189e+01 1.29895e+01
0.1020 5.39417e-23 1.01311e+01 1.15429e+01 1.30179e+01
0.1030 5.39182e-23 1.01508e+01 1.15676e+01 1.30473e+01
0.1040 5.39258e-23 1.01719e+01 1.15941e+01 1.30788e+01
0.1050 5.39335e-23 1.01935e+01 1.16212e+01 1.31111e+01
0.1060 5.39616e-23 1.02150e+01 1.16480e+01 1.31426e+01
0.1070 5.39856e-23 1.02369e+01 1.16745e+01 1.31732e+01
0.1080 5.39898e-23 1.02589e+01 1.17008e+01 1.32036e+01
0.1090 5.39769e-23 1.02764e+01 1.17219e+01 1.32274e+01
0.1100 5.39386e-23 1.02941e+01 1.17432e+01 1.32519e+01
0.1110 5.39167e-23 1.03148e+01 1.17684e+01 1.32811e+01
0.1120 5.39228e-23 1.03371e+01 1.17957e+01 1.33130e+01
0.1130 5.39482e-23 1.03589e+01 1.18230e+01 1.33453e+01
0.1140 5.39738e-23 1.03814e+01 1.18503e+01 1.33768e+01
0.1150 5.39812e-23 1.04002e+01 1.18730e+01 1.34029e+01
0.1160 5.39656e-23 1.04189e+01 1.18956e+01 1.34288e+01
0.1170 5.39687e-23 1.04397e+01 1.19205e+01 1.34570e+01
0.1180 5.40058e-23 1.04647e+01 1.19516e+01 1.34937e+01
0.1190 5.39824e-23 1.04849e+01 1.19761e+01 1.35221e+01
0.1200 5.39243e-23 1.05027e+01 1.19976e+01 1.35469e+01
0.1210 5.38657e-23 1.05206e+01 1.20190e+01 1.35710e+01
0.1220 5.38057e-23 1.05383e+01 1.20410e+01 1.35968e+01
0.1230 5.37159e-23 1.05542e+01 1.20603e+01 1.36192e+01
0.1240 5.36659e-23 1.05724e+01 1.20827e+01 1.36454e+01
0.1250 5.36363e-23 1.05926e+01 1.21063e+01 1.36717e+01
0.1260 5.36299e-23 1.06160e+01 1.21346e+01 1.37043e+01
0.1270 5.36660e-23 1.06394e+01 1.21640e+01 1.37389e+01
0.1280 5.36623e-23 1.06608e+01 1.21910e+01 1.37712e+01
0.1290 5.35839e-23 1.06780e+01 1.22119e+01 1.37954e+01
0.1300 5.35133e-23 1.06984e+01 1.22365e+01 1.38241e+01
0.1310 5.34114e-23 1.07148e+01 1.22570e+01 1.38485e+01
0.1320 5.32459e-23 1.07296e+01 1.22766e+01 1.38727e+01
0.1330 5.30626e-23 1.07471e+01 1.22983e+01 1.38985e+01
0.1340 5.28919e-23 1.07619e+01 1.23173e+01 1.39216e+01
0.1350 5.27186e-23 1.07805e+01 1.23396e+01 1.39473e+01
0.1360 5.24273e-23 1.07927e+01 1.23541e+01 1.39641e+01
0.1370 5.21391e-23 1.08036e+01 1.23686e+01 1.39821e+01
0.1380 5.17116e-23 1.08046e+01 1.23708e+01 1.39861e+01
0.1390 5.12585e-23 1.08076e+01 1.23747e+01 1.39910e+01
0.1400 5.09318e-23 1.08201e+01 1.23897e+01 1.40082e+01
0.1410 5.05181e-23 1.08245e+01 1.23938e+01 1.40122e+01
0.1420 5.00528e-23 1.08221e+01 1.23893e+01 1.40053e+01
0.1430 4.95737e-23 1.08199e+01 1.23836e+01 1.39962e+01
0.1440 4.90655e-23 1.08141e+01 1.23736e+01 1.39816e+01
0.1450 4.86045e-23 1.08115e+01 1.23668e+01 1.39700e+01
0.1460 4.81036e-23 1.08047e+01 1.23543e+01 1.39519e+01
0.1470 4.75837e-23 1.07950e+01 1.23397e+01 1.39321e+01
0.1480 4.71027e-23 1.07863e+01 1.23259e+01 1.39129e+01
0.1490 4.66274e-23 1.07812e+01 1.23151e+01 1.38957e+01
0.1500 4.62003e-23 1.07741e+01 1.23026e+01 1.38772e+01
0.1510 4.57931e-23 1.07689e+01 1.22928e+01 1.38624e+01
0.1520 4.54389e-23 1.07652e+01 1.22850e+01 1.38497e+01
0.1530 4.51032e-23 1.07653e+01 1.22819e+01 1.38428e+01
0.1540 4.47785e-23 1.07650e+01 1.22784e+01 1.38356e+01
0.1550 4.44625e-23 1.07622e+01 1.22725e+01 1.38260e+01
