# 1:time 2:Lum 3:eave 4:erms 5:eskw
0.0100 6.82415e-24 1.02760e+01 1.17318e+01 1.32862e+01
0.0110 8.17292e-24 1.04205e+01 1.18552e+01 1.33874e+01
0.0120 9.69374e-24 1.05050e+01 1.18861e+01 1.33213e+01
0.0130 1.20567e-23 1.07483e+01 1.21693e+01 1.36510e+01
0.0140 1.43703e-23 1.10172e+01 1.24856e+01 1.40201e+01
0.0150 1.61292e-23 1.11565e+01 1.26259e+01 1.41533e+01
0.0160 1.72827e-23 1.11715e+01 1.26298e+01 1.41492e+01
0.0170 1.83537e-23 1.11746e+01 1.26402e+01 1.41700e+01
0.0180 1.98683e-23 1.11951e+01 1.26313e+01 1.41231e+01
0.0190 2.20533e-23 1.13695e+01 1.28483e+01 1.43848e+01
0.0200 2.35381e-23 1.13743e+01 1.28321e+01 1.43531e+01
0.0210 2.49006e-23 1.14629e+01 1.29374e+01 1.44695e+01
0.0220 2.58401e-23 1.15067e+01 1.29886e+01 1.45327e+01
0.0230 2.59820e-23 1.14449e+01 1.29161e+01 1.44505e+01
0.0240 2.76459e-23 1.16188e+01 1.31208e+01 1.46677e+01
0.0250 2.82575e-23 1.15268e+01 1.29856e+01 1.44930e+01
0.0260 2.92088e-23 1.15489e+01 1.29978e+01 1.44900e+01
0.0270 3.00739e-23 1.15906e+01 1.30497e+01 1.45536e+01
0.0280 3.09607e-23 1.16326e+01 1.31026e+01 1.46199e+01
0.0290 3.16148e-23 1.16310e+01 1.30880e+01 1.45875e+01
0.0300 3.22450e-23 1.16770e+01 1.31550e+01 1.46798e+01
0.0310 3.32000e-23 1.17426e+01 1.32059e+01 1.47021e+01
0.0320 3.28577e-23 1.16432e+01 1.30980e+01 1.45908e+01
0.0330 3.33185e-23 1.16596e+01 1.31174e+01 1.46149e+01
0.0340 3.38668e-23 1.16545e+01 1.30939e+01 1.45717e+01
0.0350 3.45182e-23 1.16839e+01 1.31310e+01 1.46139e+01
0.0360 3.51782e-23 1.17219e+01 1.31749e+01 1.46623e+01
0.0370 3.60994e-23 1.18014e+01 1.32576e+01 1.47432e+01
0.0380 3.59803e-23 1.17402e+01 1.31894e+01 1.46718e+01
0.0390 3.63729e-23 1.17539e+01 1.32032e+01 1.46839e+01
0.0400 3.66477e-23 1.17675e+01 1.32209e+01 1.47059e+01
0.0410 3.68998e-23 1.17671e+01 1.32147e+01 1.46927e+01
0.0420 3.71585e-23 1.17762e+01 1.32265e+01 1.47079e+01
0.0430 3.73769e-23 1.17793e+01 1.32262e+01 1.47024e+01
0.0440 3.77486e-23 1.17979e+01 1.32460e+01 1.47228e+01
0.0450 3.80719e-23 1.18030e+01 1.32492e+01 1.47244e+01
0.0460 3.83766e-23 1.18147e+01 1.32601e+01 1.47335e+01
0.0470 3.86242e-23 1.18180e+01 1.32597e+01 1.47285e+01
0.0480 3.89556e-23 1.18711e+01 1.33395e+01 1.48397e+01
0.0490 3.92186e-23 1.18572e+01 1.33097e+01 1.47889e+01
0.0500 3.94840e-23 1.18623e+01 1.33085e+01 1.47809e+01
0.0510 3.97188e-23 1.18720e+01 1.33174e+01 1.47880e+01
0.0520 3.99291e-23 1.18998e+01 1.33559e+01 1.48396e+01
0.0530 4.01408e-23 1.18981e+01 1.33471e+01 1.48213e+01
0.0540 4.04286e-23 1.19264e+01 1.33844e+01 1.48691e+01
0.0550 4.06221e-23 1.19313e+01 1.33848e+01 1.48632e+01
0.0560 4.07736e-23 1.19329e+01 1.33864e+01 1.48652e+01
0.0570 4.13727e-23 1.20041e+01 1.34730e+01 1.49679e+01
0.0580 4.12258e-23 1.19671e+01 1.34239e+01 1.49046e+01
0.0590 4.13084e-23 1.19668e+01 1.34200e+01 1.48966e+01
0.0600 4.15386e-23 1.19908e+01 1.34489e+01 1.49305e+01
0.0610 4.17022e-23 1.20058e+01 1.34696e+01 1.49579e+01
0.0620 4.18222e-23 1.20101e+01 1.34670e+01 1.49459e+01
0.0630 4.20104e-23 1.20150e+01 1.34703e+01 1.49475e+01
0.0640 4.21958e-23 1.20379e+01 1.34988e+01 1.49817e+01
0.0650 4.23974e-23 1.20498e+01 1.35090e+01 1.49893e+01
0.0660 4.25020e-23 1.20640e+01 1.35274e+01 1.50126e+01
0.0670 4.26344e-23 1.20793e+01 1.35430e+01 1.50276e+01
0.0680 4.27269e-23 1.20956e+01 1.35672e+01 1.50613e+01
0.0690 4.27889e-23 1.20976e+01 1.35611e+01 1.50445e+01
0.0700 4.30182e-23 1.21312e+01 1.36055e+01 1.51017e+01
0.0710 4.30566e-23 1.21411e+01 1.36138e+01 1.51067e+01
0.0720 4.29173e-23 1.21322e+01 1.35996e+01 1.50869e+01
0.0730 4.29707e-23 1.21560e+01 1.36277e+01 1.51192e+01
