# 1:time 2:Lum 3:eave 4:erms 5:eskw
0.0100 6.82415e-24 1.02760e+01 1.17318e+01 1.32862e+01
0.0110 8.17507e-24 1.04136e+01 1.18494e+01 1.33818e+01
0.0120 9.52248e-24 1.06160e+01 1.19550e+01 1.33591e+01
0.0130 1.15519e-23 1.08017e+01 1.21639e+01 1.35958e+01
0.0140 1.36022e-23 1.10590e+01 1.24710e+01 1.39570e+01
0.0150 1.51601e-23 1.11630e+01 1.25905e+01 1.40941e+01
0.0160 1.64127e-23 1.12363e+01 1.26344e+01 1.41019e+01
0.0170 1.76552e-23 1.13078e+01 1.27153e+01 1.41855e+01
0.0180 1.86523e-23 1.12242e+01 1.25949e+01 1.40354e+01
0.0190 2.05749e-23 1.13922e+01 1.28102e+01 1.43010e+01
0.0200 2.22020e-23 1.14826e+01 1.29103e+01 1.44085e+01
0.0210 2.30834e-23 1.14986e+01 1.29226e+01 1.44162e+01
0.0220 2.40480e-23 1.15489e+01 1.29802e+01 1.44827e+01
0.0230 2.41703e-23 1.14857e+01 1.28982e+01 1.43802e+01
0.0240 2.51538e-23 1.14983e+01 1.29099e+01 1.43851e+01
0.0250 2.63934e-23 1.16101e+01 1.30381e+01 1.45301e+01
0.0260 2.72939e-23 1.16304e+01 1.30478e+01 1.45248e+01
0.0270 2.78396e-23 1.16116e+01 1.30178e+01 1.44806e+01
0.0280 2.94223e-23 1.18040e+01 1.32482e+01 1.47406e+01
0.0290 2.94098e-23 1.16859e+01 1.31014e+01 1.45714e+01
0.0300 2.99093e-23 1.17135e+01 1.31389e+01 1.46195e+01
0.0310 3.02514e-23 1.17039e+01 1.31225e+01 1.45937e+01
0.0320 3.07256e-23 1.17193e+01 1.31274e+01 1.45844e+01
0.0330 3.11947e-23 1.17341e+01 1.31535e+01 1.46252e+01
0.0340 3.26946e-23 1.18850e+01 1.33014e+01 1.47544e+01
0.0350 3.28252e-23 1.18354e+01 1.32640e+01 1.47382e+01
0.0360 3.29960e-23 1.17972e+01 1.32034e+01 1.46555e+01
0.0370 3.34110e-23 1.18029e+01 1.32135e+01 1.46693e+01
0.0380 3.38881e-23 1.18225e+01 1.32331e+01 1.46891e+01
