# 1:time 2:Lum 3:eave 4:erms 5:eskw
0.0100 1.89694e-22 1.20051e+01 1.34541e+01 1.49472e+01
0.0110 1.53849e-22 1.13806e+01 1.26319e+01 1.38731e+01
0.0120 1.22388e-22 1.06782e+01 1.18493e+01 1.29845e+01
0.0130 1.12845e-22 1.06252e+01 1.18189e+01 1.29967e+01
0.0140 1.04497e-22 1.03739e+01 1.16614e+01 1.29653e+01
0.0150 9.90326e-23 1.04133e+01 1.17331e+01 1.30861e+01
0.0160 8.74274e-23 1.00808e+01 1.13657e+01 1.26989e+01
0.0170 8.29536e-23 9.95317e+00 1.12057e+01 1.25100e+01
0.0180 7.54443e-23 9.83340e+00 1.11529e+01 1.25541e+01
0.0190 7.06509e-23 9.62717e+00 1.09331e+01 1.23455e+01
0.0200 6.63276e-23 9.49588e+00 1.07936e+01 1.22036e+01
0.0210 6.23375e-23 9.19988e+00 1.04113e+01 1.17353e+01
0.0220 6.11003e-23 9.05615e+00 1.02089e+01 1.14607e+01
0.0230 5.84290e-23 8.94661e+00 1.00731e+01 1.12960e+01
0.0240 5.59633e-23 8.85729e+00 9.94039e+00 1.11070e+01
0.0250 5.48964e-23 8.85748e+00 9.92295e+00 1.10622e+01
0.0260 5.46288e-23 8.89843e+00 9.97249e+00 1.11174e+01
0.0270 5.42147e-23 8.95026e+00 1.00505e+01 1.12266e+01
0.0280 5.26598e-23 8.95790e+00 1.00824e+01 1.12909e+01
0.0290 4.99268e-23 8.88417e+00 1.00053e+01 1.12122e+01
0.0300 4.75989e-23 8.81097e+00 9.91849e+00 1.11076e+01
0.0310 4.56481e-23 8.73023e+00 9.81222e+00 1.09682e+01
0.0320 4.43101e-23 8.67401e+00 9.73218e+00 1.08552e+01
0.0330 4.34457e-23 8.65832e+00 9.70785e+00 1.08175e+01
0.0340 4.27539e-23 8.65894e+00 9.70712e+00 1.08136e+01
0.0350 4.22601e-23 8.67037e+00 9.72260e+00 1.08332e+01
0.0360 4.18216e-23 8.67652e+00 9.72900e+00 1.08394e+01
0.0370 4.14890e-23 8.68263e+00 9.73507e+00 1.08442e+01
0.0380 4.11207e-23 8.68445e+00 9.73727e+00 1.08457e+01
0.0390 4.06457e-23 8.67809e+00 9.72682e+00 1.08281e+01
0.0400 4.01496e-23 8.68584e+00 9.74039e+00 1.08486e+01
0.0410 3.95839e-23 8.69713e+00 9.75816e+00 1.08741e+01
0.0420 3.89332e-23 8.70398e+00 9.77106e+00 1.08947e+01
0.0430 3.82138e-23 8.69437e+00 9.76021e+00 1.08823e+01
0.0440 3.76443e-23 8.67850e+00 9.73473e+00 1.08433e+01
0.0450 3.72101e-23 8.66370e+00 9.71010e+00 1.08045e+01
0.0460 3.68695e-23 8.65846e+00 9.69847e+00 1.07821e+01
0.0470 3.65387e-23 8.65862e+00 9.69258e+00 1.07663e+01
0.0480 3.64362e-23 8.67721e+00 9.71007e+00 1.07799e+01
0.0490 3.65403e-23 8.70906e+00 9.74586e+00 1.08185e+01
0.0500 3.66846e-23 8.73920e+00 9.77965e+00 1.08547e+01
0.0510 3.66941e-23 8.75513e+00 9.79308e+00 1.08630e+01
0.0520 3.65989e-23 8.77351e+00 9.81259e+00 1.08833e+01
0.0530 3.64252e-23 8.78046e+00 9.82631e+00 1.09060e+01
0.0540 3.61482e-23 8.77657e+00 9.82174e+00 1.09005e+01
0.0550 3.59520e-23 8.78362e+00 9.82740e+00 1.09038e+01
0.0560 3.58475e-23 8.80161e+00 9.85382e+00 1.09398e+01
0.0570 3.57933e-23 8.82220e+00 9.88046e+00 1.09722e+01
0.0580 3.57900e-23 8.84577e+00 9.90787e+00 1.10027e+01
