# 1:time 2:Lum 3:eave 4:erms 5:eskw
0.0100 7.76611e-24 1.07577e+01 1.22631e+01 1.38833e+01
0.0110 9.28115e-24 1.08210e+01 1.23094e+01 1.39353e+01
0.0120 1.04859e-23 1.07378e+01 1.21508e+01 1.36578e+01
0.0130 1.26080e-23 1.09948e+01 1.24135e+01 1.39241e+01
0.0140 1.42638e-23 1.10534e+01 1.24736e+01 1.39902e+01
0.0150 1.57662e-23 1.11034e+01 1.25351e+01 1.40574e+01
0.0160 1.73653e-23 1.11769e+01 1.25964e+01 1.40960e+01
0.0170 1.89416e-23 1.12100e+01 1.26212e+01 1.41194e+01
0.0180 2.10776e-23 1.13029e+01 1.27105e+01 1.41943e+01
0.0190 2.40173e-23 1.15914e+01 1.30824e+01 1.46700e+01
0.0200 2.51618e-23 1.16959e+01 1.32016e+01 1.48080e+01
0.0210 2.44245e-23 1.17268e+01 1.32504e+01 1.48649e+01
0.0220 2.31085e-23 1.16212e+01 1.31367e+01 1.47371e+01
0.0230 2.13502e-23 1.13631e+01 1.28405e+01 1.43981e+01
0.0240 2.19640e-23 1.12987e+01 1.27283e+01 1.42207e+01
0.0250 2.34967e-23 1.13266e+01 1.27438e+01 1.42194e+01
0.0260 2.51105e-23 1.13300e+01 1.27043e+01 1.41253e+01
0.0270 2.65373e-23 1.13651e+01 1.27161e+01 1.41058e+01
0.0280 2.77924e-23 1.14481e+01 1.28224e+01 1.42401e+01
0.0290 2.90101e-23 1.15295e+01 1.29285e+01 1.43789e+01
0.0300 2.99285e-23 1.15690e+01 1.29755e+01 1.44336e+01
0.0310 3.02489e-23 1.15649e+01 1.29649e+01 1.44129e+01
0.0320 3.03229e-23 1.15361e+01 1.29208e+01 1.43499e+01
0.0330 3.05155e-23 1.15285e+01 1.29096e+01 1.43342e+01
0.0340 3.07392e-23 1.15043e+01 1.28743e+01 1.42860e+01
0.0350 3.14940e-23 1.15182e+01 1.28818e+01 1.42848e+01
0.0360 3.23503e-23 1.15301e+01 1.28838e+01 1.42746e+01
0.0370 3.32187e-23 1.15517e+01 1.29014e+01 1.42867e+01
0.0380 3.37331e-23 1.15449e+01 1.28889e+01 1.42662e+01
0.0390 3.41185e-23 1.15489e+01 1.28833e+01 1.42493e+01
0.0400 3.43788e-23 1.15434e+01 1.28676e+01 1.42197e+01
